,reward,succeeds
0,-12.120891545563412,False
1,-10.1842673294012,False
2,-15.126948810474484,False
3,-13.716815055019982,False
4,-15.504370264030078,False
5,-12.213197981510515,False
6,-16.489778877347305,False
7,-14.711055912424102,False
8,-15.308788651919523,False
9,-13.80095426038713,False
10,-10.532402230569968,False
11,-17.726631268928223,False
12,-12.31746681655307,False
13,-15.63979307619356,False
14,-15.006595031592514,False
15,-12.2798476201474,False
16,-12.011375459674689,False
17,-10.057375077961016,False
18,-18.51992589007635,False
19,-10.234148602935315,False
20,-11.670479420971485,False
21,-13.498300565877114,False
22,-17.310864413634327,False
23,-10.138985352721207,False
24,-9.654533816798924,False
25,-8.749486416908384,False
26,-9.949088873050009,False
27,-9.287367991343851,False
28,-14.021604854930924,False
29,-11.077470397488417,False
30,-14.665087483810705,False
31,-12.596701537646064,False
32,-9.985894839225761,False
33,-15.526618875529246,False
34,-11.594670678604379,False
35,-9.686083882293712,False
36,-10.754149256813552,False
37,-8.80731775951083,False
38,-15.88834015422404,False
39,-11.177928628592234,False
40,-11.151555621588209,False
41,-8.589455524449653,False
42,-12.475474944786647,False
43,-10.835784647103068,False
44,-8.186729046900371,False
45,-7.886705376957561,False
46,-10.094369721609786,False
47,-12.310718037181747,False
48,-20.234003497117317,False
49,-19.501628908697242,False
