,reward,succeeds
0,-15.355482042020641,False
1,-20.187591158567205,False
2,-15.57563161113338,False
3,-15.056706854546476,False
4,-17.37642331786988,False
5,-15.003361330263173,False
6,-15.458757837616263,False
7,-16.27198125475855,False
8,-12.691915711203572,False
9,-17.182546771808237,False
10,-17.099193973286678,False
11,-15.958371083396694,False
12,-12.887496388178288,False
13,-19.154380837851207,False
14,-18.29178904724543,False
15,-15.001087686272808,False
16,-13.366293557240928,False
17,-10.135812201175863,False
18,-13.464323544879502,False
19,-13.538352269518041,False
20,-12.241483045730297,False
21,-12.624553618134916,False
22,-11.04568351983521,False
23,-12.286677034827976,False
24,-12.160238803564487,False
25,-11.618973914951013,False
26,-13.74789526317205,False
27,-15.27701287673803,False
28,-13.034813520807047,False
29,-12.807294681132262,False
30,-15.44565717156562,False
31,-12.663655297493664,False
32,-13.792595776863438,False
33,-18.196946615145162,False
34,-12.418820990356496,False
35,-15.431407031422896,False
36,-16.941295237506132,False
37,-12.295015593106084,False
38,-14.478277429048017,False
39,-19.05688833330609,False
40,-14.127018631924754,False
41,-15.096630692570427,False
42,-14.949674305138748,False
43,-14.895385991686949,False
44,-14.82527878161199,False
45,-15.06759519062742,False
46,-14.857996015792544,False
47,-19.251595767308885,False
48,-19.44015446824967,False
49,-13.709831628341885,False
50,-13.612362478202964,False
51,-13.637356486712982,False
52,-14.335882846039107,False
53,-14.875139889608532,False
54,-15.030549216828904,False
55,-15.000512050489824,False
56,-15.185176670017952,False
57,-15.142965577712983,False
58,-14.870962418146725,False
59,-14.829914311819039,False
60,-14.895853735801056,False
61,-15.099713239905737,False
62,-15.113675720552303,False
63,-14.967329319441504,False
64,-14.898828750049645,False
65,-15.110183719004688,False
66,-15.10885215445472,False
67,-14.92596801294533,False
68,-15.093329124462917,False
69,-15.101505794238227,False
70,-15.13880075971476,False
71,-15.145270509439985,False
72,-15.022620635988199,False
73,-15.01405267988132,False
74,-15.132930330628751,False
75,-14.815821111023856,False
76,-14.899544525517609,False
77,-15.011882503010842,False
78,-14.829420125397581,False
79,-15.072758617760023,False
80,-14.918931559324694,False
81,-14.951441325975837,False
82,-14.98131981354527,False
83,-14.902337886529025,False
84,-15.097691615034913,False
85,-14.949904338615202,False
86,-14.899413358600025,False
87,-15.003868520685394,False
88,-14.860908928314082,False
89,-14.845177457596739,False
90,-15.121316965242974,False
91,-14.840253885708968,False
92,-14.851122045194975,False
93,-15.02340157246935,False
94,-14.94170515986094,False
95,-15.111988020612806,False
96,-15.015983831118474,False
97,-15.157631754499764,False
98,-14.855225138737081,False
99,-15.085952894555453,False
100,-15.10182353034953,False
