,reward,succeeds
0,-16.22223966636769,False
1,-21.065000702467955,False
2,-14.647229412615406,False
3,-15.392986142845034,False
4,-15.07903766137296,False
5,-20.490763086102884,False
6,-17.399482001634443,False
7,-14.981838246758548,False
8,-15.010457781836989,False
9,-14.643221402490893,False
10,-19.94102299378579,False
11,-14.929655178772917,False
12,-20.781676476225936,False
13,-13.339277286749274,False
14,-23.132669141918804,False
15,-19.385451127766785,False
16,-13.275715242597073,False
17,-18.774048673007698,False
18,-10.51823608049897,False
19,-14.725622266170026,False
20,-20.05550357586163,False
21,-19.86617478471018,False
22,-21.01049947494698,False
23,-19.462583040569122,False
24,-20.331544116596078,False
25,-12.485144079838113,False
26,-22.26320687092492,False
27,-19.08238338181474,False
28,-19.842790401679114,False
29,-21.313158482571627,False
30,-20.838700885094074,False
31,-19.921465228533055,False
32,-12.567889967592023,False
33,-13.806328581043047,False
34,-15.349074304658824,False
35,-19.6944239930396,False
36,-14.787888747130049,False
37,-14.413628437747015,False
38,-14.904131139498027,False
39,-21.300006691224798,False
40,-19.47395931037662,False
41,-21.53333982379867,False
42,-12.931874051205638,False
43,-15.499503133137733,False
44,-13.170073041688358,False
45,-13.385520691786398,False
46,-13.719478563732254,False
47,-11.706720084816773,False
48,-11.98096760085717,False
49,-11.956255735129005,False
50,-13.527690670167795,False
51,-12.299440088158333,False
52,-16.30889846797503,False
53,-13.076776175271384,False
54,-14.320126599160705,False
55,-11.936229938981757,False
56,-11.052149923926331,False
57,-14.929996799957072,False
58,-8.677719977352838,False
59,-15.37842757855684,False
60,-14.562469818188132,False
61,-14.352874967103196,False
62,-13.229789830118916,False
63,-19.981582547808788,False
64,-15.396550100376913,False
65,-13.971600252713047,False
66,-16.182588781838156,False
67,-15.956013770940281,False
68,-15.180556976171502,False
69,-14.78776229264315,False
70,-19.049324035187738,False
71,-14.381938414567912,False
72,-22.3060723876025,False
73,-12.414329515405965,False
74,-14.475169447040528,False
75,-17.761477347847563,False
76,-15.59618016280117,False
77,-17.860713691784575,False
78,-20.09974652439675,False
79,-20.961814722463767,False
80,-14.470053307132217,False
81,-14.96886851012763,False
82,-15.635410535445677,False
83,-16.419212771827212,False
84,-14.129288871294793,False
85,-17.956990777271695,False
86,-20.17353194969168,False
87,-24.331094242093183,False
88,-17.752171039091902,False
89,-14.816953209596441,False
90,-14.642343453753533,False
91,-15.173163804831766,False
92,-13.645230300764792,False
93,-16.132805901838303,False
94,-19.841646074615912,False
95,-13.364546149051717,False
96,-14.11172534192376,False
97,-14.490244691602943,False
98,-14.211622686077703,False
99,-15.130973086422795,False
100,-14.765605372453864,False
101,-14.915958466732992,False
102,-21.41696318197347,False
103,-15.25681861445708,False
104,-18.424393981140888,False
105,-13.745592881477812,False
106,-13.785966526688007,False
107,-14.569162713522172,False
108,-15.020597112094922,False
109,-14.746448935704965,False
110,-14.576916564951087,False
111,-14.766199497568223,False
112,-14.983746658620007,False
113,-15.12177968550143,False
114,-21.971826653329103,False
115,-13.759912497381059,False
116,-12.467265591366754,False
117,-17.08929744622906,False
118,-11.082521899309505,False
119,-18.3042569249143,False
120,-9.864722685687438,False
121,-13.429422011420986,False
122,-14.557341754139127,False
123,-10.527293081117836,False
124,-16.147512181830276,False
125,-12.424497116420987,False
126,-15.234561776077596,False
127,-11.045448126115364,False
128,-18.058789694044883,False
129,-12.172966589821595,False
130,-14.887943209416342,False
131,-8.78503574377472,False
132,-15.530112887426611,False
133,-8.138363459787982,False
134,-15.60532265286764,False
135,-18.451545365041238,False
136,-16.777345572159334,False
137,-18.368026134170364,False
138,-22.00373323444696,False
139,-20.64536856473419,False
140,-14.91123417492211,False
141,-19.26736425738476,False
142,-21.24434844774948,False
143,-13.889787379186714,False
144,-13.821603698661987,False
145,-13.960051757645127,False
146,-14.135978242248996,False
147,-14.750139552804361,False
148,-15.016730644339486,False
149,-13.942743516948195,False
150,-14.95619513771517,False
151,-15.802563826189894,False
152,-13.034268643921099,False
153,-15.685076426130358,False
154,-14.574070327800403,False
155,-15.152304042623813,False
156,-13.5279251263405,False
157,-13.972296539267765,False
158,-13.583561258882735,False
159,-13.287186288304701,False
160,-14.843396439408737,False
161,-22.781104013928918,False
162,-21.905151219175515,False
163,-9.924412516709642,False
164,-12.417935830489668,False
165,-19.955802455282587,False
166,-9.407465713564873,False
167,-13.965253124130593,False
168,-15.926858766992977,False
169,-11.804280801173705,False
170,-18.133841237811303,False
171,-12.979180354276373,False
172,-11.32779079350097,False
173,-11.594460408301435,False
174,-12.089382602338448,False
175,-14.72360768315795,False
176,-10.672956592947784,False
177,-13.925989443303319,False
178,-14.198758361879165,False
179,-14.067311273636015,False
180,-14.142619501858219,False
181,-14.307060169114663,False
182,-13.244681705177644,False
183,-12.194788911729756,False
184,-15.57131163951125,False
185,-13.588679133370976,False
186,-14.766519993607107,False
187,-9.745187640998745,False
188,-8.34552373039784,False
189,-11.535651895595407,False
190,-15.345755460382996,False
191,-11.910368313335136,False
192,-16.890475705871797,False
193,-15.007752067876538,False
194,-10.858314876136719,False
195,-14.573290399393862,False
196,-12.18553953149884,False
197,-12.42218010865128,False
198,-13.249197505246286,False
199,-13.217915322113692,False
200,-12.415950076641503,False
201,-14.268377321142175,False
202,-13.76999659202604,False
203,-14.145892381658998,False
204,-15.637245472151829,False
205,-16.032045649995723,False
206,-14.45295382677231,False
207,-13.658362671686989,False
208,-11.36376077369983,False
209,-12.488371817390428,False
210,-12.62671284464637,False
211,-12.70199716118175,False
212,-12.884045673483259,False
213,-11.04113724051103,False
214,-13.784063635967962,False
215,-13.688163640705117,False
216,-15.813384304308647,False
217,-14.073863005547652,False
218,-15.868376769446684,False
219,-12.628669983691175,False
220,-14.35219011624183,False
221,-13.912463540235812,False
222,-14.426255987416935,False
223,-11.272481620318278,False
224,-10.126262904074181,False
225,-18.095394088710993,False
226,-15.44819171586615,False
227,-14.58141006784139,False
228,-14.507351063678398,False
229,-13.955507985341196,False
230,-13.277156283134426,False
231,-12.806794704441007,False
232,-13.982022607222236,False
233,-14.43557593517717,False
234,-15.53279831457693,False
235,-12.677162549117682,False
236,-12.44297893171273,False
237,-12.867193148645729,False
238,-18.60211579637125,False
239,-13.059037904009953,False
240,-18.077274929675582,False
241,-12.296494652815085,False
242,-20.063860698849545,False
243,-15.016906563635732,False
244,-15.576118277716533,False
245,-14.888214469198493,False
246,-14.015118123227685,False
247,-14.380512768077974,False
248,-12.845504733923269,False
249,-11.814772294209698,False
250,-12.181146833500748,False
251,-13.802803920873805,False
252,-14.02837828407786,False
253,-12.583178898784395,False
254,-18.239763341399573,False
255,-11.814213003782395,False
256,-14.799930155013522,False
257,-11.630560030768686,False
258,-14.411220231479644,False
259,-14.513517663171728,False
260,-11.976744892498859,False
261,-13.649175685251011,False
262,-14.292227745440043,False
263,-14.44523607199673,False
264,-12.813820804402607,False
265,-12.315752886244853,False
266,-10.817964416319047,False
267,-11.47153267735117,False
268,-11.559289256125748,False
269,-12.718825942300413,False
270,-12.533227925249431,False
271,-11.11392238180299,False
272,-12.254048592234795,False
273,-12.258133640175824,False
274,-11.68674330480697,False
275,-11.964124995222587,False
276,-12.879756384075732,False
277,-11.557600239765444,False
278,-17.972992599256965,False
279,-17.05239082392407,False
280,-12.932308671135985,False
281,-9.570125700944558,False
282,-13.410151901668998,False
283,-11.634694127205902,False
284,-12.443812919389279,False
285,-18.682622201150462,False
286,-11.805903178643755,False
287,-15.297656609508202,False
288,-12.75706590936543,False
289,-13.637910481536979,False
290,-11.620041118031251,False
291,-10.62958554696188,False
292,-11.079690281507794,False
293,-14.574332918307531,False
294,-14.628229509473622,False
295,-13.147632144542754,False
296,-19.049689115944965,False
297,-17.517665722826962,False
298,-16.67056698500479,False
299,-11.103787317221249,False
300,-16.16590184196129,False
301,-11.425501199566366,False
302,-16.625939518162745,False
303,-14.428560413914024,False
304,-17.419760047593407,False
305,-17.383508429936292,False
306,-22.16231524969529,False
307,-12.554286910935577,False
308,-14.875929076271968,False
309,-14.96525139009217,False
310,-14.85060869724636,False
311,-18.19889820779467,False
312,-8.623601378104079,False
313,-11.723034503120864,False
314,-17.48066682594746,False
315,-17.315372064850255,False
316,-15.249414870757114,False
317,-14.817807993087971,False
318,-14.922650098486654,False
319,-14.89278644500028,False
320,-16.504912461255852,False
321,-15.069184081553528,False
322,-12.685719900187694,False
323,-14.097270057557424,False
324,-14.080890564029664,False
325,-14.69945114587249,False
326,-11.880949756690356,False
327,-13.112426430060717,False
328,-14.860683785424492,False
329,-13.540057537512368,False
330,-14.632332016591251,False
331,-17.432114622088225,False
332,-10.407165490449916,False
333,-14.26166316258277,False
334,-14.831250200526407,False
335,-14.762417449397592,False
336,-14.275971937529338,False
337,-14.138366428992084,False
338,-13.194849744266735,False
339,-13.01381516006948,False
340,-13.0309682630839,False
341,-12.946419961622977,False
342,-12.959777963783637,False
343,-14.25997222677339,False
344,-14.210190331277117,False
345,-13.01353632397978,False
346,-13.002941549113398,False
347,-13.065043037315554,False
348,-12.804041875749842,False
349,-13.979951414166091,False
350,-13.261086198082202,False
351,-14.338040838567737,False
352,-13.209767618158581,False
353,-12.969272353436546,False
354,-13.03050354750276,False
355,-13.62089712763283,False
356,-13.172377729742252,False
357,-13.060051800050566,False
358,-13.099782603479525,False
359,-13.14326280304449,False
360,-13.125999178631435,False
361,-12.894117100024745,False
362,-13.137132108662376,False
363,-13.10409618473454,False
364,-14.286407137573732,False
365,-13.337623672132274,False
366,-14.344286194417943,False
367,-13.217179413325127,False
368,-12.975683607810922,False
369,-13.336832440627948,False
370,-13.212699371541488,False
371,-13.285510242952771,False
372,-13.19080278070453,False
373,-14.299929693634917,False
374,-16.66824588236781,False
375,-13.96980863351475,False
376,-16.45536982006488,False
377,-16.616096966957635,False
378,-13.735819655482272,False
379,-14.130518880300283,False
380,-14.419870213087767,False
381,-14.40510952069831,False
382,-14.164004115485309,False
383,-15.76626292847832,False
384,-13.234079141215616,False
385,-14.772725381783017,False
386,-12.295381876379892,False
387,-13.00448795131035,False
388,-13.32684495787336,False
389,-13.172948322909189,False
390,-13.124690637668975,False
391,-13.15736226265017,False
392,-13.065593820971946,False
393,-13.13390155962877,False
394,-13.13031347266582,False
395,-13.022524005459045,False
396,-13.025393503385551,False
397,-13.195674165111425,False
398,-13.155438855271116,False
399,-13.107628625228513,False
