,reward,succeed
0,-6.550040026131605,False
1,-5.4083674873751155,False
2,-6.3488257020933085,False
3,-9.143466763802607,False
4,-5.364429727534941,False
5,-10.641069864797142,False
6,-7.546367261596644,False
7,-7.385418798037819,False
8,-5.39249279663737,False
9,-11.481961325197465,False
10,-10.975054450265013,False
11,-6.281819999723259,False
12,-9.623649469363428,False
13,-8.82669035059117,False
14,-9.723773358737407,False
15,-6.902038309538541,False
16,-6.573530196511037,False
17,-8.379567719334538,False
18,-5.626245458991717,False
19,-9.956623607366947,False
20,-8.23185432193487,False
21,-5.3188712223456225,False
22,-8.381445636253925,False
23,-12.644146858041736,False
24,-7.151219143271901,False
25,-9.689517776761553,False
26,-8.971058949533706,False
27,-8.120160517565106,False
28,-10.056619170715951,False
29,-8.669232225617291,False
