,state,action,reward,next_state
11,"[0.045333683490753174, 0.08351584523916245, -0.1383213996887207, -0.010000013746321201, 0.10000009089708328, -0.024959707632660866]",6,-0.551696572562412,"[0.04484153438553855, 0.07316754764620997, -0.1616545749706788, -0.010000013491438253, 0.10000009137406204, -0.02495970701548622]"
12,"[0.04484153538942337, 0.07316754758358002, -0.16165457665920258, -0.010000013746321201, 0.10000009089708328, -0.024959707632660866]",4,-0.5935828523406192,"[0.052355363219340006, 0.06249024376725604, -0.18682759609073096, -0.010000013491438253, 0.10000009137406204, -0.02495970701548622]"
13,"[0.052355363965034485, 0.06249024346470833, -0.18682760000228882, -0.010000013746321201, 0.10000009089708328, -0.024959707632660866]",0,-0.6450297001837867,"[0.05914666718205852, 0.057429118209605834, -0.21438202924247052, -0.010000013491438253, 0.10000009137406204, -0.02495970701548622]"
14,"[0.05914666876196861, 0.05742911994457245, -0.21438202261924744, -0.010000013746321201, 0.10000009089708328, -0.024959707632660866]",1,-0.6799260066736773,"[0.06347476888095281, 0.054957037892666205, -0.23243585699478242, -0.010000013491438253, 0.10000009137406204, -0.02495970701548622]"
15,"[0.06347476691007614, 0.05495703965425491, -0.23243585228919983, -0.010000013746321201, 0.10000009089708328, -0.024959707632660866]",0,-0.6888018251035608,"[0.06660846343499867, 0.05255426221080417, -0.23683397816223928, -0.010000013491438253, 0.10000009137406204, -0.02495970701548622]"
16,"[0.06660846620798111, 0.052554260939359665, -0.23683397471904755, -0.010000013746321201, 0.10000009089708328, -0.024959707632660866]",4,-0.7311588563110917,"[0.07461135425925756, 0.07493900317953162, -0.2514173370520978, -0.010000013491438253, 0.10000009137406204, -0.02495970701548622]"
17,"[0.0746113508939743, 0.07493900507688522, -0.251417338848114, -0.010000013746321201, 0.10000009089708328, -0.024959707632660866]",3,-0.7779528044875627,"[0.08297551075783482, 0.07971326597692224, -0.2726582483388962, -0.010000013491438253, 0.10000009137406204, -0.02495970701548622]"
18,"[0.08297551423311234, 0.07971326261758804, -0.27265825867652893, -0.010000013746321201, 0.10000009089708328, -0.024959707632660866]",0,-0.8400270373562428,"[0.09600612832379406, 0.07973395260149468, -0.30244956070453544, -0.010000013491438253, 0.10000009137406204, -0.02495970701548622]"
19,"[0.0960061252117157, 0.0797339528799057, -0.3024495542049408, -0.010000013746321201, 0.10000009089708328, -0.024959707632660866]",0,-0.894867282238759,"[0.11018327733110908, 0.07832060376965738, -0.3278273121460853, -0.010000013491438253, 0.10000009137406204, -0.02495970701548622]"
20,"[0.11018327623605728, 0.07832060009241104, -0.3278273046016693, -0.010000013746321201, 0.10000009089708328, -0.024959707632660866]",6,-0.9289626583742042,"[0.1274408887882456, 0.06515752440454514, -0.3429862594766424, -0.010000013491438253, 0.10000009137406204, -0.02495970701548622]"
