,reward,succeeds
0,-14.219269727097265,False
1,-15.949865295347864,False
2,-12.140702687313182,False
3,-16.343499625675506,False
4,-12.86297190971185,False
5,-15.28930975271345,False
6,-13.415397003148476,False
7,-12.835732847561433,False
8,-16.44791940761996,False
9,-15.192268177189055,False
10,-12.27877736935026,False
11,-15.233569805162084,False
12,-12.277096953349279,False
13,-15.158092845393304,False
14,-14.617626661345641,False
15,-17.201181560044244,False
16,-16.127527285907693,False
17,-13.389688514845323,False
18,-15.007600533084032,False
19,-18.602348417904818,False
20,-12.722607959889237,False
21,-14.858194376933293,False
22,-17.750239812635186,False
23,-18.81113417622917,False
24,-14.277175362283026,False
25,-12.391187174536789,False
26,-12.154580132892052,False
27,-16.586229430986386,False
28,-16.247586750361513,False
29,-11.926771807687214,False
30,-14.855289167880525,False
31,-11.796149435012635,False
32,-16.41503410490933,False
33,-11.86403546076054,False
34,-10.975826183858466,False
35,-14.348394520442724,False
36,-13.684960503781125,False
37,-16.266916252649114,False
38,-15.756575260324173,False
39,-14.87875459490929,False
40,-15.583425979358001,False
41,-21.773951395525632,False
42,-16.531976514859227,False
43,-12.114180254818,False
44,-12.021501160826238,False
45,-11.389487155702867,False
46,-11.85791705105676,False
47,-11.888644451215267,False
48,-14.90615010561991,False
49,-17.168433875985798,False
50,-15.452173124229057,False
51,-14.179356149108786,False
52,-18.412676220574784,False
53,-15.573548725601015,False
54,-14.219679150522715,False
55,-11.94704627817969,False
56,-11.801223785577648,False
57,-11.827867936105621,False
58,-11.850211118071577,False
59,-11.858772328554727,False
60,-11.84074877466269,False
61,-11.840389064459245,False
62,-11.868206569151912,False
63,-11.839597955157263,False
64,-11.843738638837504,False
65,-11.856021673142365,False
66,-11.848196264151243,False
67,-14.203583322413605,False
68,-12.27424464860708,False
69,-11.836890160563321,False
70,-13.015503678305466,False
71,-14.676911262458207,False
72,-17.18167148885922,False
73,-16.065996431458775,False
74,-20.773636091799833,False
75,-15.495528792873627,False
76,-14.467873232215297,False
77,-12.019161021033387,False
78,-11.845453450602841,False
79,-15.371173676344812,False
80,-13.254048120368157,False
81,-11.868150445707581,False
82,-11.830651794575417,False
83,-11.810531889523517,False
84,-15.224273823117864,False
85,-15.063474706863495,False
86,-22.877517808759464,False
87,-13.00861787647976,False
88,-11.83061122674043,False
89,-11.796962140423972,False
90,-20.445126884961542,False
91,-12.285757423641577,False
92,-11.806790482865694,False
93,-11.790886145646994,False
94,-11.814814600052182,False
95,-11.8139157926488,False
96,-14.846028236782768,False
97,-19.01770417359217,False
98,-21.5050158230946,False
99,-15.826423780250364,False
100,-19.29978776512945,False
101,-18.175264952710695,False
102,-22.555161576130008,False
103,-14.236003414760942,False
104,-12.095772429318961,False
105,-11.982604814479316,False
106,-11.969537756038685,False
107,-11.968914674269769,False
108,-11.97354263051412,False
109,-11.927114154445333,False
110,-11.940187911510519,False
111,-11.997892589092949,False
112,-11.964501862864164,False
113,-11.95317906159024,False
114,-15.031650302870311,False
115,-12.03643320828363,False
116,-11.979931869189365,False
117,-15.031672435046097,False
118,-12.100625214064712,False
119,-11.963870455510344,False
120,-11.990628892561269,False
121,-11.97556754705892,False
122,-11.959081169348721,False
123,-11.98591184739677,False
124,-11.98213935459685,False
125,-14.97076656541596,False
126,-12.122450642549627,False
127,-14.688764240039516,False
128,-12.092373022883418,False
129,-11.991788202088065,False
130,-11.984931449004337,False
131,-11.951951314873366,False
132,-11.954688835761345,False
133,-11.989144821102656,False
134,-11.9502644279486,False
135,-11.969347864671397,False
136,-15.012486646919408,False
137,-12.104217687414403,False
138,-11.967605339077107,False
139,-14.97509176413454,False
140,-12.132613142054097,False
141,-12.01271417122951,False
142,-14.970791593731725,False
143,-12.122880862211675,False
144,-11.978405373189076,False
145,-11.971009467492,False
146,-11.96034459436811,False
147,-11.96796909377747,False
148,-11.986560149622202,False
149,-11.974765828108211,False
150,-11.953509873408164,False
151,-11.993661846745482,False
152,-11.919139192824776,False
153,-11.965779925738529,False
154,-11.97162645537141,False
155,-11.955318839486544,False
156,-11.965296766899105,False
157,-15.02036932515231,False
158,-12.119849548435322,False
159,-11.973847159523844,False
160,-12.005119885212729,False
161,-14.639631810627346,False
162,-12.09592093101626,False
163,-11.971251477135016,False
164,-11.975876081990137,False
165,-12.005700534606072,False
166,-11.970020527400838,False
167,-11.965221729810665,False
168,-12.008053543004777,False
169,-11.988289714211696,False
170,-11.979917686424786,False
171,-11.991900962770993,False
172,-11.986294889624434,False
173,-11.98764400681928,False
174,-11.955163594553536,False
175,-11.93413637225995,False
176,-11.927762001011946,False
177,-11.978665930279094,False
178,-11.947229401931203,False
179,-11.929684159266309,False
180,-11.986663622626795,False
181,-11.963547169168487,False
182,-11.959970250024808,False
183,-15.035248486715762,False
184,-11.993026077888556,False
185,-11.989503099456137,False
186,-11.972315506481898,False
187,-11.996876019876241,False
188,-11.929180773333783,False
189,-11.908932281959355,False
190,-15.017589271514957,False
