,cumulative_reward,succeed,actor_loss,critic_loss
0,-26.33768391440398,False,-26.742773056030277,172.71633911132812
1,21.630300252169025,False,20.56033706665039,190.24093627929688
2,-24.00211101097213,False,-24.6163330078125,143.3727264404297
3,-22.705437872569323,False,-23.01959609985352,127.02925872802734
4,-27.935748968736927,False,-28.059833526611328,188.6266021728516
5,-24.45264437545144,False,-25.458635330200195,153.6925506591797
6,-19.097591940720296,False,-18.66432762145996,84.2537841796875
7,-31.63666248919357,False,-34.53199005126953,275.2611389160156
8,-22.754796241979903,False,-23.104642868041992,128.09527587890625
9,-28.88608884400595,False,-30.380321502685547,214.7224578857422
10,-20.377787532763897,False,-20.36770248413086,98.95417785644533
11,-22.750302618486927,False,-22.750452041625977,123.79988861083984
12,-21.062236518542477,False,-20.687232971191406,103.5416488647461
13,-22.722687894914937,False,-22.43805694580078,121.35050201416016
14,-26.384229949059836,False,-27.750244140625,179.63922119140625
15,9.14247554237551,False,2.090285539627075,53.61994171142578
16,-23.386820042858208,False,-23.543813705444336,134.22433471679688
17,-24.97414466539404,False,-25.054428100585938,149.0033416748047
18,-21.325145553769087,False,-21.36133575439453,110.28216552734376
19,-20.99317015145315,False,-20.604137420654297,103.02144622802734
20,-26.234600323321445,False,-26.712482452392575,171.02308654785156
21,-32.101036262354256,False,-34.296566009521484,276.29132080078125
22,-24.76041786083922,False,-25.21122932434082,150.7574005126953
23,-22.66157970744529,False,-23.299640655517575,126.8982162475586
24,-28.09305740443316,False,-28.725709915161133,196.2261657714844
25,-26.47604431150882,False,-27.04501342773437,175.32264709472656
26,-27.582289481208125,False,-28.26738929748535,188.80319213867188
27,-24.943871667358124,False,-25.72325325012207,152.35842895507812
28,-9.918978401587864,False,-16.86128807067871,68.8033447265625
29,-21.59106164086921,False,-21.442546844482425,110.06112670898438
30,-30.427936730264403,False,-32.86753463745117,249.43081665039065
31,-26.71489131997655,False,-28.68819236755371,189.1043243408203
32,-21.62530034583804,False,-20.93663024902344,106.97374725341795
33,-20.899170632842768,False,-20.72735977172852,102.1194305419922
34,-26.753487252077765,False,-27.56649780273437,181.8132781982422
35,-23.21321611976285,False,-22.44571685791016,126.1551742553711
36,-27.339508553168717,False,-28.07283592224121,186.97427368164065
37,-23.104525225643144,False,-23.46160316467285,130.5126953125
38,-25.06803133553465,False,-25.8819522857666,155.40878295898438
39,-24.438213366166174,False,-24.677162170410156,144.6622772216797
40,-24.102546839482773,False,-23.669706344604492,136.4006805419922
41,-21.290141090594716,False,-21.32209014892578,109.85633850097656
42,-24.902902356214245,False,-26.607566833496094,161.95144653320312
43,-25.112191473170125,False,-25.55982780456543,153.1581268310547
44,-33.39405691576137,False,-34.04330825805664,275.5670166015625
45,-19.948660862542962,False,-19.80067253112793,94.5829086303711
46,-29.09599912631688,False,-29.862239837646484,212.68942260742188
47,-19.762247872339636,False,-19.721649169921875,92.41624450683594
48,-23.609452409258903,False,-23.712665557861328,133.72389221191406
49,-20.97464265004364,False,-21.325618743896484,106.93032836914062
50,-27.185851970453463,False,-28.08272933959961,186.5731201171875
51,-23.469972089108804,False,-24.15174674987793,136.99172973632812
52,-25.72244918024609,False,-25.927736282348633,161.68161010742188
53,-23.838882010077256,False,-23.85380744934082,136.00489807128906
54,-24.797506415945684,False,-25.66303253173828,155.75477600097656
55,-27.507302652275204,False,-28.18938446044922,189.55722045898438
56,-27.62538337065615,False,-28.476816177368164,189.9519805908203
57,-23.07262775959043,False,-22.65814971923828,122.61540985107422
58,-23.286177252179158,False,-23.87560272216797,135.00892639160156
59,-32.14549935341376,False,-33.96271896362305,271.18524169921875
60,-15.675448714061949,False,-13.678351402282715,47.706180572509766
61,-24.11194050015894,False,-24.085094451904297,141.0611114501953
62,-28.424191403086162,False,-30.005340576171875,206.89462280273438
63,21.551964149288352,False,0.5603283643722534,107.28474426269531
64,-19.748175631146662,False,-19.136775970458984,87.49810028076172
65,-22.937437670152526,False,-23.32822608947754,128.5289764404297
66,-22.820127135064773,False,-22.128835678100586,117.79632568359375
67,-26.292587218804375,False,-26.91647720336914,174.89791870117188
68,-22.2168732207888,False,-21.82930564880371,115.12942504882812
69,-23.08578847587514,False,-22.39336395263672,123.5873031616211
70,-25.768692071583846,False,-26.877199172973633,166.9775390625
71,-26.00248259118872,False,-26.49066925048828,165.5701141357422
72,-27.039906706764967,False,-27.42618179321289,179.6580810546875
73,-21.449822259418646,False,-21.223896026611328,105.42288970947266
74,-32.59561132796708,False,-33.9144172668457,274.8082580566406
75,-16.35990537671294,False,-14.123677253723145,51.43980407714844
76,-27.615619412748014,False,-28.378753662109375,190.26589965820312
77,-23.847621666989884,False,-25.29071807861328,146.75100708007812
78,-21.241927591304822,False,-21.099531173706055,105.95096588134766
79,-30.48863115325781,False,-31.49798011779785,238.09437561035156
80,-23.740809467457822,False,-24.182363510131836,139.20779418945312
81,-25.30759922280508,False,-25.126916885375977,151.15206909179688
82,-27.923846070680558,False,-28.72100067138672,193.12060546875
83,-23.56251829678959,False,-23.500062942504883,132.13079833984375
84,-26.410896266871138,False,-26.53304672241211,169.65333557128906
85,-24.43966713665018,False,-24.273883819580078,139.71868896484375
86,-26.30213722162576,False,-26.615041732788086,173.55010986328125
87,-26.175613081490155,False,-27.383825302124023,176.29351806640625
88,-26.740559617735943,False,-27.309064865112305,174.29757690429688
89,-27.06126820132121,False,-28.112211227416992,187.04144287109375
90,-25.8276087788113,False,-25.480792999267578,158.47361755371094
91,-10.64303800155824,False,-6.862742900848389,19.497188568115234
