,cumulative_reward,succeed,actor_loss,critic_loss
0,-2.0,False,-3.585585117340088,7.977065563201904
1,-4.0,False,-0.7707414031028748,4.053406238555908
2,4.0,False,9.197587966918944,24.93416786193848
3,-6.0,False,-0.9277302622795104,20.443344116210938
4,-18.0,False,-16.744287490844727,80.15155792236328
5,4.0,False,5.927756786346436,13.445463180541992
6,-4.0,False,1.4405241012573242,15.892093658447266
7,-1.0,False,-9.746367454528809,31.823205947875977
8,-10.0,False,-6.922312259674072,14.45215892791748
9,-4.0,False,-0.4914034605026245,8.387563705444336
10,6.0,False,1.417958378791809,7.785994052886963
11,2.0,False,-0.9192132949829102,9.186439514160156
12,0.0,False,-9.435266494750977,29.368484497070312
13,-18.0,False,-20.76659774780273,110.69273376464844
14,5.0,False,-1.509024977684021,27.99120330810547
15,2.0,False,0.3508126437664032,5.717959880828857
16,-2.0,False,0.102882944047451,3.2417845726013184
17,-6.0,False,-3.431501626968384,10.747651100158691
18,6.0,False,4.424244403839111,7.223212242126465
19,2.0,False,-1.3816537857055664,7.07598876953125
