Frame,Time,X1,Y1,Z1,X2,Y2,Z2,X3,Y3,Z3,X4,Y4,Z4,X5,Y5,Z5,X6,Y6,Z6,X7,Y7,Z7,X8,Y8,Z8,X9,Y9,Z9
0,0.05501827407407407,398.7438201904297,125.77912330627441,0.0013109035789966583,243.96860122680664,134.71139430999756,0.05916673690080643,423.4480285644531,244.9192714691162,-0.009787295013666153,201.8252182006836,259.6062755584717,-0.044268906116485596,477.66529083251953,255.2651309967041,-0.314278781414032,107.55073547363281,245.89427947998047,-0.49050626158714294,370.87779998779297,368.8378429412842,-0.008218949660658836,273.4835433959961,368.09045791625977,0.010061522014439106,319.4655990600586,28.824005126953125,-0.2794513404369354
1,0.11003654814814814,398.9550018310547,125.77789306640625,-0.015511266887187958,243.9975357055664,133.85038375854492,0.04454056918621063,424.35184478759766,245.18454551696777,-0.07200866937637329,201.74283981323242,259.76609230041504,-0.05843903496861458,476.3574981689453,255.26384353637695,-0.4537700116634369,107.41167068481445,245.97481727600098,-0.5187980532646179,370.8628845214844,369.3676471710205,-0.0034749936312437057,273.48636627197266,368.1471920013428,0.005303790792822838,319.5113754272461,26.741691827774048,-0.3128483295440674
2,0.16505482222222223,399.03587341308594,125.80312728881836,-0.018528848886489868,243.96770477294922,133.37774276733398,0.042287975549697876,424.7669219970703,245.33117294311523,-0.08024749159812927,201.59923553466797,259.86968994140625,-0.06404094398021698,474.6216583251953,255.05773544311523,-0.47064295411109924,107.24578857421875,246.09220504760742,-0.5340639352798462,370.8708190917969,369.58691596984863,-0.0005087581812404096,273.49365234375,368.2111072540283,0.002342953346669674,319.61267471313477,25.541810989379883,-0.3168971538543701
3,0.2200730962962963,399.1694641113281,125.92080116271973,-0.016745366156101227,243.89616012573242,133.07694911956787,0.03788197413086891,425.0163269042969,246.08596801757812,-0.07009905576705933,201.52462005615234,260.0874423980713,-0.06973971426486969,473.6945343017578,255.0124168395996,-0.4468366205692291,106.9609260559082,246.09163284301758,-0.5330541729927063,370.85399627685547,370.62180519104004,0.0030991595704108477,273.267822265625,368.71155738830566,-0.001244993763975799,319.84012603759766,25.01454770565033,-0.31456902623176575
4,0.27509137037037035,399.2127990722656,125.98287105560303,-0.01878652162849903,243.7990951538086,132.8812551498413,0.03592323884367943,425.41385650634766,246.2431526184082,-0.07708601653575897,201.3374900817871,260.10595321655273,-0.07196243107318878,473.06156158447266,255.02772331237793,-0.452599436044693,106.46682739257812,246.0274887084961,-0.5327205657958984,370.8287811279297,371.15756034851074,0.004203345626592636,273.0204772949219,368.9769172668457,-0.0023317858576774597,319.8871421813965,24.544385075569153,-0.3131837844848633
5,0.3301096444444444,399.3107604980469,126.0044002532959,-0.025702571496367455,243.773193359375,132.5718069076538,0.03176354616880417,425.8827209472656,246.51721000671387,-0.08741657435894012,201.2144660949707,260.18797874450684,-0.07208026945590973,472.49195098876953,255.1585578918457,-0.46323052048683167,105.83239555358887,245.94340324401855,-0.5288143754005432,370.82733154296875,371.7777442932129,0.004183005075901747,272.8469467163086,369.27815437316895,-0.0023194164969027042,319.9151611328125,23.979027271270752,-0.31816956400871277
6,0.3851279185185185,399.37366485595703,126.05210781097412,-0.02433839999139309,243.75553131103516,132.41339206695557,0.03214382380247116,426.10294342041016,246.77544593811035,-0.0830673798918724,201.04009628295898,260.2413082122803,-0.07058318704366684,472.1427917480469,255.17635345458984,-0.45586323738098145,105.25160789489746,245.8703327178955,-0.5285669565200806,370.8262634277344,372.08587646484375,0.004647546447813511,272.8048324584961,369.5090389251709,-0.0028050001710653305,320.0704574584961,23.620718121528625,-0.3196500241756439
7,0.4401461925925926,399.39002990722656,126.13516330718994,-0.023151399567723274,243.71509552001953,132.3600196838379,0.03326068073511124,426.1833953857422,247.0191478729248,-0.08228762447834015,200.73741912841797,260.3126335144043,-0.06964635848999023,471.7809295654297,255.18213272094727,-0.46370482444763184,104.6959400177002,245.81900596618652,-0.528377890586853,370.8283233642578,372.132625579834,0.004883637651801109,272.8062438964844,369.5350170135498,-0.0030435691587626934,320.09727478027344,23.169186115264893,-0.3207525610923767
8,0.49516446666666664,399.39483642578125,126.14616394042969,-0.026995908468961716,243.66907119750977,132.2382116317749,0.03342147544026375,426.12205505371094,247.07562446594238,-0.0904327780008316,200.54475784301758,260.3562068939209,-0.06318477541208267,471.4612579345703,255.1607894897461,-0.46883425116539,104.10562515258789,245.71515083312988,-0.5154719352722168,370.8282470703125,372.2940444946289,0.004174037836492062,272.8050231933594,369.6669387817383,-0.0023724217899143696,320.09910583496094,22.803069949150085,-0.3228341042995453
9,0.5501827407407407,399.34532165527344,126.16082668304443,-0.029545852914452553,243.65110397338867,132.20983028411865,0.034185655415058136,425.92811584472656,247.06787109375,-0.09569050371646881,200.43251037597656,260.3610134124756,-0.06265462934970856,471.1687469482422,255.0779914855957,-0.4776690602302551,103.73926162719727,245.59081077575684,-0.5144768953323364,370.82096099853516,372.32397079467773,0.004031133837997913,272.789249420166,369.6646785736084,-0.002252038801088929,320.04405975341797,22.56313920021057,-0.32230013608932495
10,0.6052010148148148,399.3117141723633,126.16062641143799,-0.02899109199643135,243.63576889038086,132.170090675354,0.034721843898296356,425.86517333984375,246.98713302612305,-0.09571018069982529,200.4183578491211,260.35675048828125,-0.05872614309191704,471.1627960205078,255.0498390197754,-0.48427098989486694,103.61533164978027,245.51711082458496,-0.5058233737945557,370.8134078979492,372.28978157043457,0.003950213547796011,272.7876281738281,369.5449161529541,-0.0021612183190882206,319.97278213500977,22.35431671142578,-0.3213077783584595
11,0.6602192888888889,399.2749786376953,126.14842414855957,-0.028771623969078064,243.60891342163086,132.02221870422363,0.03503747656941414,425.68092346191406,246.91271781921387,-0.09201696515083313,200.4014015197754,260.3316020965576,-0.0574997253715992,471.1386489868164,255.0625991821289,-0.4735247492790222,103.60078811645508,245.4909610748291,-0.5039262175559998,370.83621978759766,371.7293930053711,0.0040402039885520935,272.89175033569336,369.13905143737793,-0.0022574644535779953,319.8186683654785,22.18925178050995,-0.3220362067222595
12,0.715237562962963,399.27146911621094,126.15418910980225,-0.028286809101700783,243.61089706420898,131.78006172180176,0.03479848429560661,425.58189392089844,246.79229736328125,-0.0898454487323761,200.45896530151367,260.29566764831543,-0.05962412804365158,471.00181579589844,255.08620262145996,-0.4734652042388916,103.56895446777344,245.48043251037598,-0.5131367444992065,370.82679748535156,371.6143798828125,0.004721649922430515,272.8932571411133,369.09253120422363,-0.0029149746987968683,319.8257827758789,22.19946026802063,-0.32279202342033386
13,0.770255837037037,399.2841339111328,126.16496086120605,-0.02928565815091133,243.60820770263672,131.72198295593262,0.0327533520758152,425.73387145996094,246.73184394836426,-0.08887879550457001,200.48789978027344,260.3064823150635,-0.05923990532755852,471.0093307495117,255.1838493347168,-0.4720022678375244,103.48441123962402,245.487699508667,-0.5078957080841064,370.8760452270508,371.6126346588135,0.004889552015811205,272.9042625427246,369.0922737121582,-0.0031075545120984316,319.8240661621094,22.20653235912323,-0.3257805407047272
14,0.8252741111111112,399.28802490234375,126.21182441711426,-0.031064411625266075,243.60626220703125,131.6945457458496,0.028176123276352882,425.85227966308594,246.78743362426758,-0.08913563191890717,200.55940628051758,260.4258441925049,-0.07117278128862381,470.9932327270508,255.33099174499512,-0.47135257720947266,103.4868049621582,245.52660942077637,-0.5279272794723511,370.94749450683594,372.2032070159912,0.004871469922363758,272.86075592041016,369.66625213623047,-0.003086167387664318,319.8771286010742,22.21214532852173,-0.3266603350639343
15,0.8802923851851852,399.35523986816406,126.26566886901855,-0.034956105053424835,243.60376358032227,131.65555000305176,0.023793043568730354,426.1940002441406,246.84514045715332,-0.09391674399375916,200.6676483154297,260.4488182067871,-0.0768527016043663,470.9788131713867,255.44614791870117,-0.4786974787712097,103.55978965759277,245.55527687072754,-0.5348386168479919,371.01905822753906,372.6591110229492,0.004838908091187477,272.8289222717285,369.9813652038574,-0.0030519948340952396,319.8758888244629,22.215460538864136,-0.3300350308418274
16,0.9353106592592593,399.3743133544922,126.33147239685059,-0.03904556483030319,243.60164642333984,131.6559076309204,0.02209344319999218,426.25438690185547,246.95680618286133,-0.10227841138839722,200.72443008422852,260.60648918151855,-0.08263145387172699,470.8932876586914,255.45026779174805,-0.4880349636077881,103.72915267944336,245.57787895202637,-0.5418833494186401,371.27220153808594,373.038911819458,0.004680340643972158,272.818546295166,370.4304313659668,-0.002887443406507373,319.8793411254883,22.217007279396057,-0.33010929822921753
17,0.9903289333333334,399.43172454833984,126.3438606262207,-0.04082497954368591,243.60071182250977,131.65881156921387,0.022776221856474876,426.51695251464844,246.9986629486084,-0.10938545316457748,200.7924461364746,260.89362144470215,-0.08112673461437225,470.8147430419922,255.4306697845459,-0.5006120204925537,103.98744583129883,245.6334686279297,-0.5395105481147766,371.37977600097656,373.49610328674316,0.004031283315271139,272.79064178466797,370.89491844177246,-0.0022273792419582605,319.87722396850586,22.220104336738586,-0.3299490213394165
18,1.0453472074074073,399.4593048095703,126.34610652923584,-0.038147877901792526,243.60736846923828,131.643648147583,0.02790115401148796,426.52374267578125,246.9619846343994,-0.10706452280282974,200.80039978027344,261.0787868499756,-0.07526766508817673,470.7731628417969,255.32575607299805,-0.5025853514671326,104.19930458068848,245.789794921875,-0.5380182266235352,371.4717102050781,373.49244117736816,0.0040168059058487415,272.81131744384766,370.90953826904297,-0.0022124680690467358,319.8908042907715,22.23820388317108,-0.32810455560684204
