,reward,succeeds
0,-14.365172609430882,False
1,-12.554829836229136,False
2,-12.536240926170452,False
3,-15.831098561186423,False
4,-16.43737537976128,False
5,-20.264046191776117,False
6,-18.401808737350297,False
7,-12.658009539578666,False
8,-17.24778336367436,False
9,-18.228395968350018,False
10,-17.45425972575618,False
11,-15.433938802021837,False
12,-13.841197360459535,False
13,-13.118461749109787,False
14,-11.26573516318324,False
15,-14.317882155068432,False
16,-15.689647095587583,False
17,-15.894403485083265,False
18,-14.774613951262355,False
19,-16.678654375683447,False
20,-11.092733840679175,False
21,-20.64760455662572,False
22,-12.110818312893096,False
23,-18.301062288430543,False
24,-14.330743935269547,False
25,-16.024390415435047,False
26,-13.701426750069581,False
27,-14.17155243239318,False
28,-16.78592823851503,False
29,-14.150913328172255,False
30,-12.201234744738679,False
31,-9.646371762613464,False
32,-14.955620403755127,False
33,-15.525660587985737,False
34,-8.846024614915404,False
35,-16.379619355339727,False
36,-17.830876275059513,False
37,-12.120854954634618,False
38,-14.832179330771188,False
39,-20.050119012962927,False
40,-13.189975980541245,False
41,-11.893779445886329,False
42,-12.91837679981815,False
43,-12.423752570070299,False
44,-11.449829288022126,False
45,-12.879851012295838,False
46,-10.017814335151815,False
47,-18.397062426466405,False
48,-17.398417376503485,False
49,-12.324876963832352,False
50,-16.70992796550263,False
51,-13.074430333618063,False
52,-17.423047685322533,False
53,-16.191360371838783,False
54,-20.91888913356126,False
55,-11.900053992243786,False
56,-15.748846844406536,False
57,-13.979882946617652,False
58,-13.781946115391731,False
59,-17.549264585775273,False
60,-11.45854631668753,False
61,-12.278646614946394,False
62,-14.13926235048509,False
63,-12.872404663464458,False
64,-13.82893673606887,False
65,-16.461784669347715,False
66,-16.70459065467904,False
67,-13.567580675533343,False
68,-11.421452929378749,False
69,-12.031158600615337,False
70,-14.183954396815272,False
71,-11.100710986420264,False
72,-14.609416471551043,False
73,-14.328345536466534,False
74,-13.237530484621526,False
75,-13.048058633870491,False
76,-13.656499803734995,False
77,-17.202360585892933,False
78,-12.927626045891554,False
79,-13.34620033608895,False
80,-15.161595959731901,False
81,-13.6366766648281,False
82,-11.968695557455995,False
83,-13.22869104301477,False
84,-11.664545693635963,False
85,-13.404157712248598,False
86,-12.11093342207364,False
87,-15.724888125575795,False
88,-11.133196327570566,False
89,-13.05708081181037,False
90,-12.20603074005144,False
91,-10.904587736644384,False
92,-20.177510525806948,False
93,-14.354367155004189,False
94,-17.91919081629484,False
95,-11.339577492621501,False
96,-11.0351028948022,False
97,-12.500513533327853,False
98,-15.169521758374575,False
99,-12.908476747394001,False
100,-12.656760487196127,False
101,-15.23180150604224,False
102,-22.537078790658867,False
103,-21.900001333891385,False
104,-13.432249738821273,False
105,-13.4112499299618,False
106,-14.264994308819944,False
107,-16.80644891028797,False
108,-18.119046824521483,False
109,-15.934901401632391,False
110,-17.286550230484092,False
111,-16.79407683759544,False
112,-15.101746637386716,False
113,-12.035885758784133,False
114,-12.735876759180728,False
115,-14.02094146537417,False
116,-15.191287729512062,False
117,-10.754421638454003,False
118,-12.16971921565252,False
119,-13.921619658689432,False
120,-15.086886441258656,False
121,-15.603824416494833,False
122,-9.253205932579508,False
123,-16.576751601683885,False
124,-13.93821245394101,False
125,-14.130436308347395,False
126,-16.17769281282547,False
127,-12.90253862071826,False
128,-18.129810034147308,False
129,-16.806012318470454,False
130,-9.672932266657874,False
131,-12.16968067514041,False
132,-14.127644510859762,False
133,-15.057272276396725,False
134,-16.00242215123533,False
135,-13.412100051774914,False
136,-16.826290512827626,False
137,-16.533938194528723,False
138,-17.06269410162058,False
139,-13.353634052155254,False
140,-13.56708858407849,False
141,-14.20762527892261,False
142,-11.684231222588895,False
143,-14.857738270975583,False
144,-12.18174712392274,False
145,-17.301072768732933,False
146,-10.453711375947073,False
147,-17.05407214701766,False
148,-16.234120213716004,False
149,-19.612305349004494,False
150,-17.93447787652354,False
151,-15.106220474459715,False
152,-18.017318148613413,False
153,-13.131261667797167,False
154,-12.59552469565006,False
155,-12.392262887124772,False
156,-16.11510837730274,False
157,-17.266012351826934,False
158,-12.214455757759445,False
159,-16.6733287687854,False
160,-12.29535804914729,False
161,-15.732242223431527,False
162,-9.492938278280704,False
163,-12.880086877907448,False
164,-16.996979485050343,False
165,-18.890654498197094,False
166,-10.410682736955316,False
167,-14.275158633441169,False
168,-10.888787008709466,False
169,-12.134841039891908,False
170,-9.665828104372993,False
171,-20.177460363221215,False
172,-19.87893260142407,False
173,-13.330087221006245,False
174,-11.762914037725357,False
175,-11.850502082882134,False
176,-12.644982120177456,False
177,-17.866291046493874,False
178,-12.46903531135074,False
179,-17.37409640408171,False
180,-13.598307841108806,False
181,-13.080450471942449,False
182,-10.962379189660403,False
183,-15.391434359674893,False
184,-15.355976520482338,False
185,-11.359901849254195,False
186,-12.56022830012156,False
187,-16.88167621009394,False
188,-14.084013003549426,False
189,-10.941104473429395,False
190,-10.227936811748538,False
191,-13.018349516650549,False
192,-11.2725666851259,False
193,-12.977620211905277,False
194,-18.18000831785276,False
195,-12.56408054963743,False
196,-12.853635802427164,False
