,cumulative_reward,succeed,actor_loss,critic_loss,average_reward
0,-14.0,False,-14.703496932983398,65.50955963134766,-0.28
1,-10.0,False,-8.170378684997559,23.30362319946289,-0.2
2,-18.0,False,-21.76739501953125,133.22361755371094,-0.36
3,-10.0,False,-15.593067169189451,55.94150924682617,-0.2
4,-26.0,False,-22.620248794555664,127.36985778808594,-0.52
5,4.0,False,6.870930671691895,15.98095417022705,0.08
6,-4.0,False,-7.453866004943848,20.75439071655273,-0.08
7,-4.0,False,10.857958793640137,53.15816116333008,-0.08
8,-8.0,False,-8.324923515319824,18.40605354309082,-0.16
9,-12.0,False,-9.722661972045898,26.642858505249023,-0.24
10,-14.0,False,-15.998427391052246,60.975677490234375,-0.28
11,-16.0,False,-10.518985748291016,47.96401596069336,-0.32
12,16.0,False,13.143320083618164,63.661903381347656,0.32
13,-10.0,False,-17.27537727355957,66.0252456665039,-0.2
14,-22.0,False,-17.484582901000977,96.76809692382812,-0.44
15,4.0,False,7.836910247802734,21.854955673217773,0.08
16,0.0,False,1.847375750541687,5.963213920593262,0.0
17,2.0,False,3.6602632999420166,6.416686058044434,0.04
18,-6.0,False,-4.638411998748779,8.972464561462402,-0.12
19,-18.0,False,-14.682615280151367,57.36089324951172,-0.36
20,-14.0,False,-15.940135955810549,65.72370147705078,-0.28
21,-4.0,False,-2.15180778503418,7.529764652252197,-0.08
22,-5.0,False,-12.456466674804688,68.6890869140625,-0.1
23,-1.0,False,-1.5192086696624756,5.991590023040772,-0.02
24,-30.0,False,-34.21211242675781,259.4148254394531,-0.6
25,-20.0,False,-18.406816482543945,108.07449340820312,-0.4
26,4.0,False,-5.019028663635254,22.41230010986328,0.08
27,-20.0,False,-16.690589904785156,79.5743408203125,-0.4
28,4.0,False,0.565757155418396,5.185958862304688,0.08
29,-4.0,False,-0.9364437460899352,7.033535003662109,-0.08
30,-2.0,False,-1.8768905401229856,2.4552290439605717,-0.04
31,-6.0,False,-10.298184394836426,23.34781837463379,-0.12
32,-9.0,False,-12.392304420471191,33.852760314941406,-0.18
33,-18.0,False,-22.63981437683105,122.4154052734375,-0.36
34,-4.0,False,0.3074816763401031,16.11747169494629,-0.08
35,-2.0,False,-6.994265556335449,11.945030212402344,-0.04
36,16.0,False,28.096879959106445,175.17877197265625,0.32
37,27.0,False,24.053789138793945,192.90963745117188,0.54
38,-12.0,False,2.6488232612609863,52.10294723510742,-0.24
39,-10.0,False,-6.1403422355651855,17.512248992919922,-0.2
40,-4.0,False,-9.296753883361816,20.8928337097168,-0.08
41,-30.0,False,-27.605735778808597,176.44143676757812,-0.6
42,2.0,False,4.297771453857422,8.207280158996582,0.04
43,-20.0,False,-18.73223304748535,106.15220642089844,-0.4
44,2.0,False,6.693295955657959,23.80329132080078,0.04
45,-12.0,False,-16.592119216918945,67.31834411621094,-0.24
46,-14.0,False,-10.89993953704834,37.77751541137695,-0.28
47,3.0,False,2.917576789855957,6.474398136138916,0.06
48,10.0,False,9.370872497558594,22.406147003173828,0.2
49,-24.0,False,-31.0157413482666,199.12535095214844,-0.48
50,-2.0,False,-8.224041938781738,20.92228889465332,-0.04
51,-12.0,False,-16.755800247192383,77.29660034179688,-0.24
52,2.0,False,11.331317901611328,33.12612533569336,0.04
53,-4.0,False,-5.887645244598389,16.148174285888672,-0.08
54,3.0,False,-5.306381702423096,17.84170913696289,0.06
55,2.0,False,-0.9004784822463989,3.352736473083496,0.04
56,-4.0,False,-1.009827733039856,5.086795330047607,-0.08
57,18.0,False,30.83406639099121,214.5947265625,0.36
58,-10.0,False,-4.858615398406982,9.03419017791748,-0.2
59,-8.0,False,-7.730004787445068,25.83931541442871,-0.16
60,-8.0,False,-12.78548812866211,33.00456619262695,-0.16
61,-14.0,False,-10.253173828125,35.416221618652344,-0.28
62,-12.0,False,-12.592228889465332,50.62273406982422,-0.24
63,0.0,False,5.761297702789307,11.541234970092772,0.0
64,-6.0,False,-1.833632469177246,2.8207926750183105,-0.12
65,-2.0,False,-2.0748770236968994,5.504982948303223,-0.04
66,-24.0,False,-14.457856178283691,71.29486846923828,-0.48
67,-6.0,False,-3.798008441925049,6.775521278381348,-0.12
68,-1.0,False,-0.7388545870780945,13.574281692504885,-0.02
69,10.0,False,14.572345733642578,52.30930709838867,0.2
70,12.0,False,12.900627136230469,39.81140899658203,0.24
71,-4.0,False,-5.458008766174316,13.59172534942627,-0.08
72,4.0,False,1.0965112447738647,6.958188533782959,0.08
