,state,action,reward,next_state
45,"0.14845881,0.10355195",7,-0.5207892311013356,"0.16756669656108503,0.10355194599305517"
46,"0.1675667,0.10355195",7,-0.5464599131231498,"0.1804020375719921,0.10355194599305517"
47,"0.18040204,0.10355195",7,-0.5660465055250972,"0.19019533377296582,0.10355194599305517"
48,"0.19019534,0.10355195",7,-0.5713547587052228,"0.19284946036302864,0.10355194599305517"
49,"0.19284946,0.10355195",7,-0.5743045723354456,"0.19432436717814003,0.10355194599305517"
50,"0.19432437,0.10355195",5,-0.5756152154471428,"0.19497968873398863,0.10355194599305517"
51,"0.19497968,0.10355195",7,-0.5768285433642873,"0.19558635269256092,0.10355194599305517"
52,"0.19558635,0.10355195",7,-0.576913593575644,"0.1956288777982392,0.10355194599305517"
53,"0.19562888,0.10355195",8,-0.5769121369935151,"0.19562814950717475,0.10355194599305517"
54,"0.19562815,0.10355195",7,-0.5769328628004284,"0.19563851241063146,0.10355194599305517"
55,"0.19563851,0.10355195",7,-0.5769145313298448,"0.19562934667533965,0.10355194599305517"
56,"0.19562934,0.10355195",5,-0.5769059123653603,"0.19562503719309737,0.10355194599305517"
57,"0.19562504,0.10355195",1,-0.5917212361277333,"0.20303269907428387,0.10355194599305517"
58,"0.2030327,0.10355195",4,-0.6224478257529721,"0.21839599388690328,0.10355194599305517"
59,"0.218396,0.10355195",0,-0.6135377864440251,"0.21394097423242978,0.10355194599305517"
60,"0.13263799,0.10344201",9,-0.4464114084962068,"0.13038139712470165,0.10354953808226783"
61,"0.13038139,0.10354954",0,-0.43358908716844924,"0.12396662459464183,0.10355194599305517"
62,"0.12396663,0.10355195",1,-0.41565392043997473,"0.1149990412304046,0.10355194599305517"
63,"0.11499904,0.10355195",5,-0.40204531614084527,"0.10819473908083987,0.10355194599305517"
64,"0.10819474,0.10355195",9,-0.40065144096122274,"0.10749780149102861,0.10355194599305517"
65,"0.107497804,0.10355195",8,-0.3995978396168788,"0.10697100081885665,0.10355194599305517"
66,"0.106971,0.10355195",0,-0.3967632805582776,"0.10555372128955601,0.10355194599305517"
67,"0.105553724,0.10355195",8,-0.39542360571240065,"0.10488388386661755,0.10355194599305517"
68,"0.10488389,0.10355195",0,-0.3941364639794548,"0.10424031300014465,0.10355194599305517"
69,"0.10424031,0.10355195",0,-0.3928013092994148,"0.10357273566012465,0.10355194599305517"
70,"0.10357273,0.10355195",0,-0.3913889747369266,"0.1028665683788805,0.10355194599305517"
71,"0.10286657,0.10355195",0,-0.3898912656105695,"0.10211771381570198,0.10355194599305517"
72,"0.10211772,0.10355195",3,-0.3951391264675659,"0.1047416442442002,0.10355194599305517"
73,"0.10474165,0.10355195",0,-0.4220732523012688,"0.11820870716105161,0.10355194599305517"
74,"0.11820871,0.10355195",6,-0.4395107066873518,"0.12692743435409312,0.10355194599305517"
75,"0.12692744,0.10355195",3,-0.4581294076431661,"0.1362367848320003,0.10355194599305517"
76,"0.13623679,0.10355195",7,-0.5157564105023916,"0.16505028626161306,0.10355194599305517"
77,"0.16505028,0.10355195",0,-0.5813710805145849,"0.19785762126770967,0.10355194599305517"
78,"0.19785762,0.10355195",9,-0.6352840655963449,"0.22481411380858968,0.10355194599305517"
79,"0.22481412,0.10355195",0,-0.6719943454749071,"0.24316925374787077,0.10355194599305517"
80,"0.24316925,0.10355195",0,-0.6795971750833366,"0.24697066855208552,0.10355194599305517"
81,"0.24697067,0.10355195",0,-0.6801673757465793,"0.24725576888370687,0.10355194599305517"
82,"0.24725577,0.10355195",6,-0.6684289878648009,"0.24138657494281765,0.10355194599305517"
83,"0.24138658,0.10355195",7,-0.6764880952733932,"0.24537369459190655,0.10355194599305517"
84,"0.2453737,0.10355195",0,-0.6785136903631639,"0.24642892619199916,0.10355194599305517"
85,"0.24642892,0.10355195",5,-0.6793338481091123,"0.2468390050649734,0.10355194599305517"
86,"0.246839,0.10355195",0,-0.67984192826564,"0.24709304514323727,0.10355194599305517"
87,"0.24709305,0.10355195",0,-0.6799107594797449,"0.24712746075028968,0.10355194599305517"
88,"0.24712746,0.10355195",2,-0.6091838421574958,"0.2117640020891651,0.10355194599305517"
89,"0.21176401,0.10355195",3,-0.59994161839261,"0.2071428902067222,0.10355194599305517"
90,"0.13246429,0.10344201",2,-0.4478398440975882,"0.13109561492539235,0.10354953808226783"
91,"0.13109562,0.10354954",8,-0.4364584819270233,"0.12541001938844132,0.10355194599305517"
92,"0.12541002,0.10355195",0,-0.417170947426575,"0.11575755472370472,0.10355194599305517"
93,"0.115757555,0.10355195",2,-0.39896610125606724,"0.10665513163845083,0.10355194599305517"
94,"0.10665513,0.10355195",2,-0.39757898522700486,"0.10596157362391966,0.10355194599305517"
95,"0.105961576,0.10355195",2,-0.39646799359769846,"0.10540651911903008,0.10355194599305517"
96,"0.10540652,0.10355195",2,-0.39533395366285995,"0.1048390578418472,0.10355194599305517"
97,"0.10483906,0.10355195",6,-0.3693777644817603,"0.09186096325129736,0.10355194599305517"
98,"0.091860965,0.10355195",5,-0.34049643684583003,"0.07881173518221364,0.10262432216046759"
99,"0.078811735,0.10262432",2,-0.33082664053059735,"0.07818586144130571,0.09981830588266197"
100,"0.078185864,0.099818304",2,-0.3159101888620178,"0.07731540228380351,0.09542646143147028"
101,"0.077315405,0.09542646",2,-0.3024188055125803,"0.07660413968709802,0.09140350871279478"
102,"0.07660414,0.09140351",1,-0.2905246791783003,"0.07610407390787753,0.08777217712084844"
103,"0.076104075,0.087772176",7,-0.3131561758779985,"0.0892469446073631,0.08655409555442409"
104,"0.08924694,0.086554095",2,-0.35311186160375485,"0.10922478747024128,0.08655409555442409"
105,"0.10922479,0.086554095",2,-0.3666320512104012,"0.11598488227356446,0.08655409555442409"
106,"0.11598488,0.086554095",2,-0.3712112936773406,"0.11827450350703418,0.08655409555442409"
107,"0.1182745,0.086554095",2,-0.37178383421261596,"0.11856077377467183,0.08655409555442409"
108,"0.118560776,0.086554095",6,-0.3456554924244476,"0.10549660288058767,0.08655409555442409"
109,"0.1054966,0.086554095",2,-0.29933995421547427,"0.08233883377610102,0.08655409555442409"
110,"0.08233883,0.086554095",2,-0.28060682595945846,"0.07549459715383523,0.08487254388392933"
111,"0.075494595,0.084872544",7,-0.30078133698229537,"0.08891187758061095,0.08265252727369114"
112,"0.088911876,0.082652524",2,-0.3417036352548648,"0.1093730267168957,0.08265252727369114"
113,"0.109373026,0.082652524",2,-0.3611501390618739,"0.1190962786204002,0.08265252727369114"
114,"0.11909628,0.082652524",6,-0.3381431627115219,"0.10759279044522424,0.08265252727369114"
115,"0.10759279,0.082652524",3,-0.296193831518665,"0.0866181248487958,0.08265252727369114"
116,"0.086618125,0.082652524",8,-0.28908750162636343,"0.08380852914125438,0.08215681444795156"
117,"0.08380853,0.082156815",2,-0.2583413491817767,"0.06897072071612736,0.08179996924984066"
118,"0.06897072,0.08179997",2,-0.2645502781556445,"0.07718128101216182,0.07839590537710697"
119,"0.07718128,0.0783959",1,-0.2731576937930968,"0.08442736854125309,0.07642172276784949"
120,"0.13385049,0.10344201",2,-0.44652674085320126,"0.1304424074534799,0.10354730864874716"
121,"0.13044241,0.10354731",2,-0.4347359172806108,"0.12454003965072265,0.10355194599305517"
122,"0.12454004,0.10355195",6,-0.4018463931389412,"0.10809527757988785,0.10355194599305517"
123,"0.10809528,0.10355195",2,-0.3515798892225505,"0.08296202562169248,0.10355194599305517"
124,"0.08296203,0.10355195",5,-0.32456389745473346,"0.07196069819066167,0.10188083369113671"
125,"0.071960695,0.10188083",8,-0.3235337716406376,"0.07744827048861828,0.09787907688780036"
126,"0.07744827,0.097879075",2,-0.31513863501165856,"0.07751847511008775,0.09503389493049437"
127,"0.07751848,0.09503389",3,-0.309301985815218,"0.07807615113815845,0.0927165611796337"
128,"0.078076154,0.09271656",2,-0.3037750980653316,"0.07727734028230805,0.09140680583357183"
129,"0.07727734,0.09140681",1,-0.3120268661794502,"0.08419827690111509,0.08954343745907334"
130,"0.08419827,0.08954344",2,-0.3375399511145666,"0.09680944725728591,0.08954343745907334"
131,"0.09680945,0.08954344",4,-0.36175723887310973,"0.10906346324794484,0.08954343745907334"
132,"0.10906346,0.08954344",5,-0.3849525637349721,"0.12066112567887605,0.08954343745907334"
133,"0.120661125,0.08954344",8,-0.40745434881895093,"0.13191201822086546,0.08954343745907334"
134,"0.13191202,0.08954344",9,-0.4281046660568506,"0.1420857044479892,0.08954343745907334"
135,"0.1420857,0.08954344",2,-0.4493422039662418,"0.15285594579451087,0.08954343745907334"
136,"0.15285595,0.08954344",2,-0.46792175233987443,"0.16214571998132718,0.08954343745907334"
137,"0.16214572,0.08954344",1,-0.48785544451494867,"0.17211256606886433,0.08954343745907334"
138,"0.17211257,0.08954344",0,-0.5028472371216807,"0.1796084623722303,0.08954343745907334"
139,"0.17960846,0.08954344",2,-0.5083192091667319,"0.18234444839475594,0.08954343745907334"
140,"0.18234445,0.08954344",8,-0.5095047714460396,"0.18293722953440975,0.08954343745907334"
141,"0.18293723,0.08954344",2,-0.509773136919586,"0.183071412271183,0.08954343745907334"
142,"0.18307142,0.08954344",2,-0.5099352468816722,"0.18315246725222611,0.08954343745907334"
143,"0.18315247,0.08954344",2,-0.5099334421498735,"0.18315156488632672,0.08954343745907334"
144,"0.18315156,0.08954344",3,-0.519665210580455,"0.18799419742169496,0.08954343745907334"
145,"0.1879942,0.08954344",3,-0.55784412508482,"0.20706092989324804,0.08954343745907334"
146,"0.20706093,0.08954344",4,-0.6181076394309797,"0.23723866352687983,0.08954343745907334"
147,"0.23723866,0.08954344",6,-0.6654418584791908,"0.2609057730509854,0.08954343745907334"
148,"0.26090577,0.08954344",2,-0.6312742019830694,"0.24382194480292468,0.08954343745907334"
149,"0.24382195,0.08954344",0,-0.5747884499750762,"0.21557906879892805,0.08954343745907334"
150,"0.13172475,0.10347474",8,-0.44839071448245726,"0.13137104976085814,0.103549538320247"
151,"0.13137105,0.10354954",5,-0.4361308006469081,"0.1252374813338713,0.10355194599305517"
152,"0.12523748,0.10355195",8,-0.41627690984542165,"0.11534980912565923,0.10355194599305517"
153,"0.11534981,0.10355195",9,-0.40229508212965104,"0.10832087766986943,0.10355194599305517"
154,"0.10832088,0.10355195",8,-0.40086736555934654,"0.10760614104733186,0.10355194599305517"
155,"0.10760614,0.10355195",0,-0.39799728472796425,"0.10617159038122555,0.10355194599305517"
156,"0.10617159,0.10355195",5,-0.39671885116887107,"0.10553150659485279,0.10355194599305517"
157,"0.105531506,0.10355195",6,-0.37082201030362116,"0.09258308616222781,0.10355194599305517"
158,"0.09258308,0.10355195",8,-0.3253584699811251,"0.0726380359000074,0.10169413272703677"
159,"0.072638035,0.10169413",8,-0.3084366059062644,"0.06826059552764648,0.09897180495032382"
160,"0.068260595,0.09897181",8,-0.2975858740380165,"0.06720116730522727,0.09606117980918734"
161,"0.06720117,0.09606118",3,-0.2905042555548598,"0.0653356810689024,0.09494429780568502"
162,"0.06533568,0.0949443",8,-0.3060811661522384,"0.0748080495542786,0.0938216890145604"
163,"0.074808046,0.09382169",1,-0.34540764175089933,"0.09447128735360906,0.0938216890145604"
164,"0.09447129,0.09382169",8,-0.3824559876313114,"0.11299546029381508,0.0938216890145604"
165,"0.11299546,0.09382169",8,-0.4012353361214367,"0.12238513453887773,0.0938216890145604"
166,"0.12238514,0.09382169",8,-0.4052168490306012,"0.12437589099345998,0.0938216890145604"
167,"0.124375895,0.09382169",8,-0.4055157573691208,"0.1245222740460796,0.0938216890145604"
168,"0.124522276,0.09382169",8,-0.40549567460678404,"0.12451530378155143,0.0938216890145604"
169,"0.1245153,0.09382169",6,-0.38897593293676724,"0.11625543294654302,0.0938216890145604"
170,"0.11625543,0.09382169",1,-0.3894376405185226,"0.11648628673742067,0.0938216890145604"
171,"0.11648629,0.09382169",0,-0.3890670482199392,"0.11630099058812898,0.0938216890145604"
172,"0.11630099,0.09382169",3,-0.42112616173479434,"0.13228580038454726,0.0938216890145604"
173,"0.1322858,0.09382169",8,-0.4807606079812128,"0.1621477704687658,0.0938216890145604"
174,"0.16214778,0.09382169",8,-0.5345914910345063,"0.18906321199541254,0.0938216890145604"
175,"0.1890632,0.09382169",8,-0.579068318660194,"0.21130162580825643,0.0938216890145604"
176,"0.21130162,0.09382169",4,-0.6176212589374875,"0.23057809594690318,0.0938216890145604"
177,"0.2305781,0.09382169",0,-0.6620822411749087,"0.2528085870656137,0.0938216890145604"
178,"0.2528086,0.09382169",4,-0.6971103107698097,"0.2703226218630642,0.0938216890145604"
179,"0.27032262,0.09382169",9,-0.7411943542712228,"0.29236464361377085,0.0938216890145604"
180,"0.13189213,0.10344201",7,-0.45015863793048344,"0.1322513829198916,0.10355195736356673"
181,"0.13225138,0.103551954",7,-0.43589264329621313,"0.12511840265852378,0.10355194599305517"
182,"0.1251184,0.10355195",1,-0.4387938782949613,"0.12656902015789787,0.10355194599305517"
183,"0.12656902,0.10355195",0,-0.42209871961126433,"0.11822144081604938,0.10355194599305517"
184,"0.11822144,0.10355195",7,-0.40442921289408595,"0.10938668745746022,0.10355194599305517"
185,"0.10938669,0.10355195",1,-0.41395353846489824,"0.11414885024286636,0.10355194599305517"
186,"0.11414885,0.10355195",7,-0.4383608550578405,"0.1263525085393375,0.10355194599305517"
187,"0.1263525,0.10355195",0,-0.42169585036365353,"0.11802000619224398,0.10355194599305517"
188,"0.118020006,0.10355195",7,-0.3996437098811808,"0.10699393595100765,0.10355194599305517"
189,"0.106993936,0.10355195",7,-0.3947600570076065,"0.10455210951422048,0.10355194599305517"
190,"0.10455211,0.10355195",8,-0.3931001019869531,"0.10372213200389377,0.10355194599305517"
191,"0.10372213,0.10355195",1,-0.4052511803800727,"0.10979767120045357,0.10355194599305517"
192,"0.10979767,0.10355195",9,-0.42973022879634204,"0.12203719540858825,0.10355194599305517"
193,"0.122037195,0.10355195",8,-0.45325764077226105,"0.13380090139654774,0.10355194599305517"
194,"0.1338009,0.10355195",7,-0.4764537982997925,"0.1453989801603135,0.10355194599305517"
195,"0.14539897,0.10355195",7,-0.4990571833167149,"0.15670067266877466,0.10355194599305517"
196,"0.15670067,0.10355195",4,-0.5222252350446001,"0.16828469853271727,0.10355194599305517"
197,"0.1682847,0.10355195",1,-0.5435822733076902,"0.1789632176642623,0.10355194599305517"
198,"0.17896321,0.10355195",7,-0.5656776785085147,"0.1900109202646746,0.10355194599305517"
199,"0.19001092,0.10355195",0,-0.5859447669442043,"0.20014446448251938,0.10355194599305517"
200,"0.20014447,0.10355195",7,-0.6040774703935168,"0.2092108162071756,0.10355194599305517"
201,"0.20921081,0.10355195",7,-0.6213451365783231,"0.21784464929957878,0.10355194599305517"
202,"0.21784465,0.10355195",7,-0.6369278110693325,"0.2256359865450835,0.10355194599305517"
203,"0.22563599,0.10355195",7,-0.6514732812826094,"0.2329087216517219,0.10355194599305517"
204,"0.23290873,0.10355195",7,-0.6612776070529611,"0.2378108845368978,0.10355194599305517"
205,"0.23781088,0.10355195",7,-0.663778999512816,"0.23906158076682524,0.10355194599305517"
206,"0.23906158,0.10355195",6,-0.6639756984718239,"0.23915993024632917,0.10355194599305517"
207,"0.23915993,0.10355195",7,-0.6640096573455914,"0.2391769096832129,0.10355194599305517"
208,"0.23917691,0.10355195",6,-0.664005600104772,"0.23917488106280327,0.10355194599305517"
209,"0.23917489,0.10355195",7,-0.6640062869063125,"0.23917522446357348,0.10355194599305517"
210,"0.13309607,0.10344201",7,-0.4458324042788677,"0.1300917947928621,0.1035496048977145"
211,"0.1300918,0.10354961",7,-0.43296541446475834,"0.12365478824279638,0.10355194599305517"
212,"0.12365479,0.10355195",8,-0.41378524155553975,"0.11406470178818709,0.10355194599305517"
213,"0.1140647,0.10355195",7,-0.40201799637803526,"0.10818107919943486,0.10355194599305517"
214,"0.10818108,0.10355195",1,-0.4144438105620196,"0.11439398629142705,0.10355194599305517"
215,"0.11439399,0.10355195",6,-0.43863889313692095,"0.12646117069396973,0.10355194599305517"
216,"0.12646118,0.10355195",8,-0.4620892691009525,"0.1382167155608935,0.10355194599305517"
217,"0.13821672,0.10355195",7,-0.4857037402993313,"0.15002395116008285,0.10355194599305517"
