,cumulative_reward,succeed,actor_loss,critic_loss
0,-26.462949576865896,False,-27.60869598388672,180.65724182128903
1,-20.400712388064687,False,-20.424684524536133,99.34835052490234
2,-20.36457814023724,False,-19.895687103271484,95.95242309570312
3,-30.431956621550544,False,-32.60405731201172,246.3763427734375
4,-27.00686726702731,False,-28.520238876342773,189.9123077392578
5,-20.740849374284345,False,-20.967798233032227,104.40312957763672
6,-24.1298634269032,False,-25.49020004272461,150.55734252929688
7,-20.571417358652557,False,-19.791603088378903,98.27557373046876
8,-29.551671566754994,False,-31.054447174072266,227.95664978027344
9,-20.3571709391756,False,-19.354045867919922,95.27107238769531
10,-26.212411455430235,False,-28.41795539855957,186.82025146484375
11,-21.813031896385016,False,-22.72005271911621,119.08367919921875
12,-22.257744900618857,False,-23.547103881835938,127.46217346191406
13,-27.955408033140035,False,-28.431468963623047,196.54342651367188
14,-25.35127423493389,False,-26.024314880371094,160.45748901367188
15,-27.894649564118968,False,-27.724809646606445,187.84152221679688
16,-24.192894963614368,False,-25.006961822509766,145.27005004882812
17,-19.924268583788567,False,-20.086055755615234,96.0440444946289
18,-31.669877797403043,False,-33.858360290527344,267.2884216308594
19,-22.40286183540901,False,-23.315956115722656,123.56837463378906
20,-26.737558526657818,False,-27.917247772216797,185.19143676757812
21,-20.344972554486866,False,-19.09433937072754,89.67853546142578
22,-21.749943056584154,False,-21.274627685546875,110.13373565673828
23,-28.68783818141081,False,-30.456518173217773,213.55340576171875
24,-19.839126845274297,False,-19.03907012939453,88.08068084716797
25,-23.58713966062687,False,-25.485809326171875,147.82005310058594
26,-18.69029255191691,False,-17.96894645690918,76.59212493896484
27,-19.54315996551468,False,-18.03798484802246,81.52975463867188
28,-24.323685978695384,False,-24.40471649169922,143.35577392578125
29,-21.608601394798626,False,-20.741247177124023,105.00533294677734
30,-21.313520074328686,False,-21.51871109008789,109.82470703125
31,-27.908075339951598,False,-28.042659759521484,190.9551544189453
32,-20.040629638259443,False,-19.199905395507812,88.75119018554688
33,-22.35121986764732,False,-21.36626434326172,110.81192779541016
34,-18.352782990597486,False,-17.83332061767578,76.01762390136719
35,-20.056682162330294,False,-19.98175048828125,98.52699279785156
36,-26.35306584996007,False,-26.724016189575195,168.6817169189453
37,-23.125532395250236,False,-22.8688907623291,123.33967590332031
38,-28.009608205368927,False,-29.399364471435547,197.20005798339844
39,-23.39149348743748,False,-23.28816795349121,130.7600555419922
40,-27.170997139779725,False,-27.59122657775879,177.29855346679688
41,-22.538379659601997,False,-22.018199920654297,116.37023162841797
42,-30.404633891482636,False,-31.65396499633789,229.9373016357422
43,-25.045998688109968,False,-25.902902603149414,158.87039184570312
44,-24.56514117514772,False,-25.413564682006836,149.93772888183594
45,-28.056819894092108,False,-28.013473510742188,189.5199737548828
46,-23.17885870416008,False,-21.800920486450195,119.55594635009766
47,-24.964814994145996,False,-26.65159034729004,158.87030029296875
48,-24.275708523540086,False,-24.968801498413086,143.02951049804688
49,-18.486986242286836,False,-16.977672576904297,70.39751434326172
50,-25.71475337091525,False,-26.41402244567871,161.83216857910156
51,-26.099324533790426,False,-25.84993553161621,157.08261108398438
52,-22.687415279716376,False,-21.657207489013672,116.72789001464844
53,-10.376049454785047,False,-9.157801628112793,22.81788444519043
54,-18.78404405186133,False,-16.082130432128906,66.54395294189453
55,-27.404954685624734,False,-27.74261474609375,175.23194885253906
56,-23.951380522309904,False,-23.952857971191406,133.80433654785156
57,-23.91122017445813,False,-22.77017593383789,121.32653045654297
58,-27.724944580605495,False,-27.234333038330078,178.4080047607422
59,-30.337529029453535,False,-32.31149673461914,258.57568359375
60,-20.506171451568104,False,-17.81796646118164,81.71356964111328
61,-27.27518983136739,False,-26.8828125,171.490966796875
62,-21.49088856475104,False,-22.10359764099121,115.53572082519531
63,-23.742797038834734,False,-22.40182113647461,119.64320373535156
