Format Version,1.23,Take Name,RightToLeft,Take Notes,,Capture Frame Rate,240,Export Frame Rate,240,Capture Start Time,2022-07-14 12.08.44.023 PM,Capture Start Frame,1070568,Total Frames in Take,2188,Total Exported Frames,2188,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.016667,0.13143,0.122553,0.771222,0.135569,0.083873,0.732014,0.109262,0.049177,0.80286,0.168906,0.009247,0.778921,-0.29882,0.624554,0.573467,-0.245809,0.563333,0.706646,-0.154337,0.266577,0.82453,-0.129251,0.25787,0.761585,0.068189,0.07913,0.962853,0.027761,0.087497,0.947962,0.017477,0.046613,0.946321,0.028669,0.135887,0.894473,-0.020037,0.1171,0.919358,-0.200003,0.543195,0.551053,-0.14538,0.345033,0.506072,0.094083,0.001553,0.527641,0.096295,0.001244,0.623034,0.170234,0.001838,0.521599,0.173356,0.001001,0.615961,-0.374724,0.421675,0.553451
5,0.020833,0.131433,0.122546,0.771221,0.135559,0.083875,0.732021,0.109258,0.049188,0.80287,0.168911,0.00924,0.778918,-0.298812,0.624555,0.57346,-0.245803,0.563333,0.706635,-0.154348,0.266559,0.824513,-0.12927,0.257825,0.761613,0.068163,0.079121,0.962842,0.027739,0.087487,0.947945,0.017455,0.046606,0.946303,0.028652,0.135879,0.894464,-0.020054,0.117083,0.919345,-0.2,0.543187,0.551044,-0.1454,0.345016,0.506044,0.094082,0.00154,0.527641,0.0963,0.001246,0.623031,0.170237,0.001833,0.521603,0.173363,0.001018,0.61596,-0.374726,0.421684,0.553432
6,0.025,0.131435,0.122546,0.77122,0.135562,0.083875,0.732024,0.109262,0.049188,0.802864,0.168905,0.009234,0.778919,-0.29878,0.624547,0.573474,-0.245815,0.56331,0.706608,-0.15437,0.266555,0.824503,-0.129288,0.257817,0.761605,0.068146,0.079114,0.962834,0.027727,0.087466,0.947934,0.017438,0.046597,0.946291,0.028628,0.135857,0.894454,-0.020081,0.117071,0.919331,-0.199997,0.543186,0.551033,-0.145417,0.345013,0.506026,0.094082,0.001545,0.527642,0.0963,0.001248,0.623035,0.170234,0.00184,0.521605,0.173348,0.001033,0.615983,-0.374743,0.421717,0.553386
7,0.029167,0.131434,0.122545,0.771215,0.135558,0.083876,0.73202,0.109261,0.049189,0.802867,0.168909,0.009234,0.778923,-0.298789,0.624556,0.573429,-0.245804,0.563321,0.706611,-0.15438,0.266543,0.824484,-0.129296,0.257809,0.761585,0.068112,0.079105,0.962828,0.027697,0.087455,0.947918,0.017407,0.046592,0.946278,0.028609,0.135842,0.894442,-0.020105,0.117054,0.919315,-0.199993,0.543184,0.551018,-0.14543,0.345008,0.506002,0.094083,0.001554,0.527644,0.096295,0.001239,0.623048,0.170235,0.00184,0.521603,0.173367,0.001024,0.615957,-0.374743,0.421722,0.553369
8,0.033333,0.131431,0.122548,0.771221,0.135565,0.083882,0.73202,0.109266,0.049183,0.802861,0.1689,0.009239,0.778919,-0.298788,0.624572,0.573426,-0.245818,0.563302,0.706586,-0.154399,0.266538,0.824472,-0.129305,0.257809,0.76157,0.068091,0.079095,0.962816,0.027673,0.087438,0.947917,0.017383,0.046584,0.946274,0.028588,0.135836,0.894434,-0.020145,0.116998,0.919295,-0.199988,0.54318,0.551012,-0.145445,0.345002,0.505984,0.094084,0.001543,0.527651,0.096295,0.001237,0.623051,0.170235,0.001836,0.521608,0.173365,0.00102,0.61596,-0.374746,0.421731,0.553351
9,0.0375,0.131429,0.122549,0.771221,0.13557,0.083877,0.732024,0.10926,0.049185,0.802866,0.168909,0.009242,0.778921,-0.298772,0.624567,0.573406,-0.245813,0.5633,0.706575,-0.154414,0.266521,0.824453,-0.129322,0.257791,0.761535,0.068057,0.079082,0.962814,0.027646,0.087425,0.947902,0.017358,0.046566,0.946258,0.028566,0.135819,0.894428,-0.020174,0.116979,0.919285,-0.199987,0.543176,0.550996,-0.145461,0.344989,0.505977,0.094082,0.001546,0.52765,0.096296,0.001238,0.623056,0.170236,0.001837,0.521607,0.173348,0.001036,0.615984,-0.37475,0.421715,0.553288
10,0.041667,0.131431,0.122546,0.771221,0.135568,0.08388,0.732017,0.109261,0.049194,0.802867,0.168909,0.009243,0.778919,-0.298764,0.624581,0.573401,-0.245815,0.563295,0.706553,-0.154428,0.266505,0.824426,-0.12933,0.257789,0.761513,0.068024,0.079078,0.962809,0.027607,0.087413,0.947898,0.017334,0.046561,0.946252,0.028542,0.135805,0.894413,-0.020203,0.116961,0.919265,-0.19993,0.543189,0.550907,-0.145468,0.344992,0.505954,0.094076,0.00154,0.527649,0.096294,0.001238,0.623051,0.170235,0.001836,0.521608,0.173346,0.001041,0.615982,-0.374755,0.421719,0.553276
11,0.045833,0.131432,0.122543,0.771217,0.135559,0.083881,0.732022,0.109265,0.049188,0.802861,0.168903,0.009242,0.778915,-0.298717,0.624597,0.573372,-0.245815,0.563292,0.706544,-0.154448,0.266495,0.824412,-0.129334,0.257777,0.761493,0.067987,0.079068,0.96281,0.027576,0.087387,0.947884,0.017357,0.046468,0.946224,0.02852,0.135789,0.894409,-0.020236,0.11694,0.919246,-0.199931,0.543181,0.55089,-0.145479,0.344981,0.505937,0.094086,0.001547,0.52765,0.096297,0.001243,0.623052,0.170234,0.001839,0.521608,0.17335,0.001036,0.61598,-0.374751,0.421722,0.553256
12,0.05,0.131432,0.122545,0.771223,0.13556,0.083885,0.732016,0.109263,0.049182,0.802866,0.168906,0.009247,0.778915,-0.2987,0.624597,0.573359,-0.245815,0.563283,0.70653,-0.154464,0.266485,0.82439,-0.129344,0.25777,0.761466,0.067934,0.079033,0.962792,0.027548,0.087372,0.947881,0.017302,0.046464,0.9462,0.028494,0.135778,0.894409,-0.020263,0.116917,0.919232,-0.199926,0.543173,0.550873,-0.145484,0.344972,0.50592,0.094079,0.001548,0.527643,0.096298,0.00125,0.623038,0.170236,0.001843,0.521606,0.173365,0.001022,0.615959,-0.374756,0.421725,0.55324
13,0.054167,0.131435,0.122544,0.771221,0.135569,0.083882,0.732018,0.109264,0.049182,0.802865,0.168905,0.009241,0.77892,-0.29869,0.624598,0.573342,-0.245814,0.563285,0.706515,-0.154487,0.266461,0.824358,-0.129365,0.257753,0.761451,0.067899,0.079019,0.962794,0.027514,0.087356,0.947863,0.017281,0.046443,0.946181,0.02846,0.135774,0.894389,-0.020299,0.116897,0.919218,-0.199927,0.543165,0.55086,-0.145496,0.344965,0.505906,0.094081,0.001545,0.527646,0.096295,0.001241,0.623055,0.170236,0.001833,0.521606,0.173365,0.001023,0.615961,-0.374763,0.421734,0.553223
