,reward,succeed
0,-8.26697023452987,False
1,-9.692974112639215,False
2,-5.348025460144959,False
3,-10.305744013998238,False
4,-5.965531754803334,False
5,-8.012974951448909,False
6,-5.257915375120503,False
7,-7.805947244380613,False
8,-4.79871979366079,False
9,-8.686097154618976,False
10,-5.592393176574733,False
11,-7.386120407187007,False
12,-5.148603330300592,False
13,-5.526858436976586,False
14,-9.166382332659893,False
15,-6.673491019836855,False
16,-8.056505969005297,False
17,-10.716972996656088,False
18,-10.523158278920912,False
19,-10.090820746316398,False
20,-7.905540778198285,False
21,-6.198455310657982,False
22,-7.146257992299134,False
23,-6.227829879738857,False
24,-6.35677974949639,False
25,-5.232083431757709,False
26,-5.374485933084283,False
27,-10.706624375318544,False
28,-10.755899001412851,False
29,-9.245573718366943,False
