,reward,succeed
0,-11.896561182549572,False
1,-10.045652839562557,False
2,-6.240761972044052,False
3,-6.3005445259426445,False
4,-5.408458085870386,False
5,-4.877594505488072,False
6,-7.251357940330463,False
7,-7.64389094178681,False
8,-5.845362383060155,False
9,-5.480678511302296,False
10,-7.971810867425825,False
11,-5.412681970852176,False
12,-9.899251269219361,False
13,-7.83067232977703,False
14,-8.169919944264523,False
15,-9.461310438508708,False
16,-6.0649956569547525,False
17,-6.5168725370027945,False
18,-7.5968414170402445,False
19,-8.595808282745354,False
20,-9.65823027182876,False
21,-9.532047389008323,False
22,-6.281085030750927,False
23,-9.155878088303348,False
24,-5.761276450173123,False
25,-11.444899208490442,False
26,-11.391659145165768,False
27,-8.911910886387298,False
28,-6.493791657516983,False
29,-6.224424232382513,False
