,reward,succeed
0,-10.7750724841,False
1,-7.4090097455,False
2,-6.0447533036,False
3,-5.1530358375,False
4,-6.376204995,False
5,-11.7859276325,False
6,-10.3682646824,False
7,-7.4595922988,False
8,-6.6839672661,False
9,-5.1676934967,False
10,-7.4700395347,False
11,-10.5073296259,False
12,-9.5951319311,False
13,-5.4393929563,False
14,-7.084416602,False
,-7.8213221595,
