,reward,succeed
0,-5.024850449,False
1,-5.4557924653,False
2,-7.698970707,False
3,-7.0503723656,False
4,-4.257792125,False
5,-10.6954285251,False
6,-6.104178978,False
7,-3.194409844,False
8,-3.4122507052,False
9,-7.6389425169,False
10,-7.7613157762,False
11,-7.3019602589,False
12,-6.5275593912,False
13,-10.4020294115,False
14,-7.0490980579,False
,-6.6383301051,
