,state,action,reward,next_state
59,"0.06679743,0.09243303",5,-0.282081014907031,"0.06668786090398028,0.09123509769969015"
60,"0.13248575,0.10344201",5,-0.4459890338001281,"0.1301666147808239,0.10355193474616009"
61,"0.13016662,0.10355193",5,-0.4323105600294467,"0.12333805592089406,0.10355194599305517"
62,"0.12333806,0.10355195",8,-0.40835657774606215,"0.11135036988344832,0.10355194599305517"
63,"0.11135037,0.10355195",5,-0.4020132121673249,"0.10817868709407968,0.10355194599305517"
64,"0.10817869,0.10355195",5,-0.4005811470377133,"0.1074626545292739,0.10355194599305517"
65,"0.10746265,0.10355195",8,-0.3994619997832881,"0.1069030809020613,0.10355194599305517"
66,"0.10690308,0.10355195",8,-0.3983726242793836,"0.10635839315010905,0.10355194599305517"
67,"0.106358394,0.10355195",5,-0.3971874237361196,"0.10576579287847702,0.10355194599305517"
68,"0.10576579,0.10355195",6,-0.37091677883762175,"0.0926304704292281,0.10355194599305517"
69,"0.09263047,0.10355195",8,-0.3277399666731672,"0.07104206434700083,0.10355194599305517"
70,"0.07104206,0.10355195",5,-0.31196688570103115,"0.06881115599317834,0.09978152457155816"
71,"0.068811156,0.09978153",8,-0.2994539150134212,"0.06699355074860862,0.09682227117206799"
72,"0.06699355,0.09682227",0,-0.2961368409552464,"0.06664464214994002,0.09594918555178877"
73,"0.06664464,0.09594919",9,-0.2944871757264433,"0.06861545065629496,0.09408542480461779"
74,"0.06861545,0.094085425",5,-0.28807820374026666,"0.06813315203916258,0.09227063322064717"
75,"0.06813315,0.092270635",5,-0.2812070863487559,"0.06766303898488996,0.09029366945965868"
76,"0.06766304,0.09029367",7,-0.2967298066092904,"0.07708518522118522,0.08918647872230666"
77,"0.07708518,0.08918648",6,-0.2990281978142857,"0.07823438082368286,0.08918647872230666"
78,"0.07823438,0.08918648",2,-0.2725939265721852,"0.06742516498416821,0.08758119886794959"
79,"0.06742516,0.0875812",5,-0.2612924056787357,"0.06687970500324425,0.0841776652240824"
80,"0.066879705,0.084177665",2,-0.25480533110588016,"0.06644901741221587,0.08230243209381614"
81,"0.06644902,0.08230243",8,-0.24460190971942114,"0.06479823427502913,0.08000181372312096"
82,"0.064798236,0.080001816",5,-0.2426308807410852,"0.06444788773571973,0.07957836842321525"
83,"0.06444789,0.07957837",0,-0.24007846136683836,"0.06434751616375346,0.07879447634644382"
84,"0.06434751,0.07879448",5,-0.23739841501652859,"0.06421851866085583,0.07798712589827231"
85,"0.06421852,0.07798713",5,-0.23467517676902866,"0.0641046991088503,0.07715525951710935"
86,"0.0641047,0.07715526",2,-0.23192826385411358,"0.06401719606758298,0.07629795723964922"
87,"0.0640172,0.07629795",8,-0.2294824449094549,"0.06393789098720591,0.07553555431168103"
88,"0.06393789,0.07553555",2,-0.22738477073837998,"0.06386038871375527,0.07488799777028982"
89,"0.06386039,0.074888",2,-0.2255929826379301,"0.06379426539567361,0.0743348172821943"
90,"0.13262823,0.10344201",2,-0.4451691566612965,"0.12975664228529812,0.10355195736356673"
91,"0.12975664,0.103551954",5,-0.43074283140738345,"0.12254349671410894,0.10355194599305517"
92,"0.1225435,0.10355195",8,-0.40572662816182936,"0.11004611794962207,0.10355194599305517"
93,"0.11004612,0.10355195",0,-0.40114719986305003,"0.10774568094194226,0.10355194599305517"
94,"0.10774568,0.10355195",2,-0.39972052812962167,"0.10703234507522805,0.10355194599305517"
95,"0.107032344,0.10355195",8,-0.3985135371498848,"0.10642884958535966,0.10355194599305517"
96,"0.10642885,0.10355195",8,-0.39727586281510774,"0.1058100124179711,0.10355194599305517"
97,"0.10581001,0.10355195",5,-0.39593391714917736,"0.10513903958500592,0.10355194599305517"
98,"0.10513904,0.10355195",2,-0.3945351402217002,"0.10443965112126737,0.10355194599305517"
99,"0.10443965,0.10355195",5,-0.39303127068909316,"0.10368771635496384,0.10355194599305517"
100,"0.10368772,0.10355195",1,-0.39255075254790917,"0.10344745728437182,0.10355194599305517"
101,"0.10344746,0.10355195",9,-0.39270600595975247,"0.10352508399029349,0.10355194599305517"
102,"0.10352509,0.10355195",5,-0.39268802206580944,"0.10351609204332196,0.10355194599305517"
103,"0.103516094,0.10355195",2,-0.3926988111495553,"0.1035214865851949,0.10355194599305517"
104,"0.10352149,0.10355195",8,-0.3927138784029742,"0.10352902021190437,0.10355194599305517"
105,"0.10352902,0.10355195",8,-0.39271865787111904,"0.10353140994597675,0.10355194599305517"
106,"0.10353141,0.10355195",5,-0.3926609324629957,"0.10350254724191511,0.10355194599305517"
107,"0.10350255,0.10355195",8,-0.39266939594468664,"0.10350677898276053,0.10355194599305517"
108,"0.10350678,0.10355195",8,-0.39266357758055126,"0.10350386980069287,0.10355194599305517"
109,"0.10350387,0.10355195",2,-0.39267033093080517,"0.1034964817317322,0.10355194599305517"
110,"0.103496484,0.10355195",8,-0.39268525654614006,"0.10351470928348724,0.10355194599305517"
111,"0.10351471,0.10355195",5,-0.39264569194355925,"0.10349492698219685,0.10355194599305517"
112,"0.10349493,0.10355195",5,-0.3926213458349611,"0.1034827539278978,0.10355194599305517"
113,"0.10348275,0.10355195",5,-0.39266368472169133,"0.1035039233712629,0.10355194599305517"
114,"0.10350392,0.10355195",2,-0.3926432372072197,"0.10349369961402707,0.10355194599305517"
115,"0.1034937,0.10355195",8,-0.3926503341818127,"0.10349724810132359,0.10355194599305517"
116,"0.103497244,0.10355195",8,-0.392647901472154,"0.10349603174649424,0.10355194599305517"
117,"0.10349603,0.10355195",8,-0.3926481124855683,"0.10349613725320138,0.10355194599305517"
118,"0.103496134,0.10355195",5,-0.392628347207687,"0.10348625461426073,0.10355194599305517"
119,"0.103486255,0.10355195",8,-0.39262048661506943,"0.10348232431795196,0.10355194599305517"
120,"0.13254298,0.10344201",8,-0.4453601265790045,"0.12986143835990827,0.10354720507735066"
121,"0.12986144,0.10354721",2,-0.4326572873096918,"0.12350072466526314,0.10355194599305517"
122,"0.12350073,0.10355195",5,-0.4119128967041462,"0.11312852936249032,0.10355194599305517"
123,"0.11312853,0.10355195",2,-0.4017985590726618,"0.10808122359933693,0.10355194599305517"
124,"0.10808122,0.10355195",2,-0.40037858362024503,"0.10736115966509195,0.10355194599305517"
125,"0.10736116,0.10355195",8,-0.3992836266880839,"0.1068138943544592,0.10355194599305517"
126,"0.10681389,0.10355195",2,-0.39817639957449036,"0.10626028079766243,0.10355194599305517"
127,"0.10626028,0.10355195",2,-0.39702776741045154,"0.10568596471564301,0.10355194599305517"
128,"0.105685964,0.10355195",2,-0.3958038147709684,"0.10507398839590143,0.10355194599305517"
129,"0.10507399,0.10355195",2,-0.39449934839897494,"0.10442175520990471,0.10355194599305517"
130,"0.10442176,0.10355195",6,-0.3685022494531218,"0.09142320573697815,0.10355194599305517"
131,"0.091423206,0.10355195",6,-0.3390523953685239,"0.08470166051936334,0.0982163581099324"
132,"0.08470166,0.098216355",5,-0.3152971465021731,"0.08705701677173326,0.08872770431956886"
133,"0.08705702,0.088727705",5,-0.29218683285648095,"0.08833394433954062,0.08017298139246658"
134,"0.08833394,0.08017298",8,-0.26245389388878104,"0.08076678909582918,0.07530677189904089"
135,"0.08076679,0.07530677",2,-0.24960069840698362,"0.08068948899954174,0.07107763777556286"
