,state,action,reward,next_state
35,"0.11029258,0.10355195",2,-0.40115488263555177,"0.10774952232819313,0.10355194599305517"
36,"0.10774952,0.10355195",9,-0.3985156458918052,"0.10642990395631984,0.10355194599305517"
37,"0.106429905,0.10355195",2,-0.39755101176953356,"0.10594758689518399,0.10355194599305517"
38,"0.105947584,0.10355195",3,-0.40113199617551565,"0.10773807909817504,0.10355194599305517"
39,"0.10773808,0.10355195",4,-0.43001167658181605,"0.12217791930132525,0.10355194599305517"
40,"0.12217792,0.10355195",1,-0.4721781848979727,"0.14326117345940356,0.10355194599305517"
41,"0.14326118,0.10355195",6,-0.5264707847760116,"0.17040747339842305,0.10355194599305517"
42,"0.17040747,0.10355195",8,-0.571524041676729,"0.19293410184878174,0.10355194599305517"
43,"0.1929341,0.10355195",2,-0.540672501585559,"0.17750833180319672,0.10355194599305517"
44,"0.17750832,0.10355195",3,-0.5628650508687032,"0.18860460644476884,0.10355194599305517"
45,"0.18860461,0.10355195",9,-0.6085117199602214,"0.21142794099052792,0.10355194599305517"
46,"0.21142794,0.10355195",2,-0.5596851616376439,"0.1870146618292392,0.10355194599305517"
47,"0.18701467,0.10355195",8,-0.5307481172239898,"0.17254613962241214,0.10355194599305517"
48,"0.17254613,0.10355195",9,-0.5301345646545048,"0.17223936333766962,0.10355194599305517"
49,"0.17223936,0.10355195",3,-0.558846921268042,"0.18659554164443826,0.10355194599305517"
50,"0.18659554,0.10355195",3,-0.6222494046255254,"0.2182967833231799,0.10355194599305517"
51,"0.21829678,0.10355195",4,-0.703042873224315,"0.25869351762257475,0.10355194599305517"
52,"0.25869352,0.10355195",4,-0.7852420504783769,"0.2997931062496057,0.10355194599305517"
53,"0.2997931,0.10355195",4,-0.8365103158381532,"0.3254272389294938,0.10355194599305517"
54,"0.32542723,0.10355195",7,-0.8292807229811016,"0.321812442500968,0.10355194599305517"
55,"0.32181245,0.10355195",0,-0.7851719488672596,"0.29975805544404704,0.10355194599305517"
56,"0.29975805,0.10355195",5,-0.7540268492594142,"0.28418550564012435,0.10355194599305517"
57,"0.2841855,0.10355195",4,-0.7387576656601107,"0.2765509138404726,0.10355194599305517"
58,"0.27655092,0.10355195",7,-0.724900498877773,"0.2696223304493037,0.10355194599305517"
59,"0.26962233,0.10355195",6,-0.7124956695108737,"0.2634727770804012,0.10355194599305517"
60,"0.13321218,0.10344201",0,-0.4469236591547049,"0.13064086767515096,0.103547307934801"
61,"0.13064086,0.103547305",8,-0.4351728902815013,"0.1247585261511679,0.10355194599305517"
62,"0.12475853,0.10355195",4,-0.4173241149560515,"0.11583413848844297,0.10355194599305517"
63,"0.11583414,0.10355195",7,-0.40133437767631897,"0.10783926984857671,0.10355194599305517"
64,"0.10783927,0.10355195",2,-0.3998461818848692,"0.10709517195285183,0.10355194599305517"
65,"0.107095174,0.10355195",5,-0.3977618690877631,"0.10605301555429879,0.10355194599305517"
66,"0.10605302,0.10355195",2,-0.3965287932846403,"0.10543647765273736,0.10355194599305517"
67,"0.105436474,0.10355195",6,-0.39519898923022123,"0.10477157562552786,0.10355194599305517"
68,"0.10477158,0.10355195",5,-0.3938174888043249,"0.10408082541257965,0.10355194599305517"
69,"0.104080826,0.10355195",3,-0.3977833207877196,"0.10606374140427705,0.10355194599305517"
