,cumulated_reward,succeed,actor_loss,critic_loss
0,-16.92030103516295,False,-20.67116355895996,95.67964935302734
1,-14.569992382707278,False,-16.67295265197754,66.48260498046875
2,-13.618334387478244,False,-15.595603942871094,55.95622253417969
3,-17.08395158795429,False,-20.795562744140625,97.62416076660156
4,-14.114983961820558,False,-15.901947975158691,60.31308364868164
5,-17.546170186304114,False,-21.35472679138184,105.09151458740234
6,-17.12779763855417,False,-18.320011138916016,81.40863800048828
7,-12.276458563611689,False,-13.175944328308104,41.40565872192383
8,-14.68244105892185,False,-16.653810501098633,66.33705139160156
9,-13.06294330275305,False,-14.522017478942873,49.706085205078125
10,-15.069993388492742,False,-18.207895278930664,73.94210815429688
11,-24.53009898296404,False,-29.81795692443848,205.24630737304688
12,-19.2625138757094,False,-23.444015502929688,125.94768524169922
13,-11.536756998760872,False,-12.485302925109863,37.07252883911133
14,-23.154103650863497,False,-27.249887466430664,175.73060607910156
15,-19.60770387309364,False,-22.16347885131836,121.2026596069336
16,-22.13072123529571,False,-28.71466636657715,177.74942016601562
17,-12.303256860700088,False,-13.383183479309082,41.10179901123047
18,-15.453429720904488,False,-16.306934356689453,66.98673248291016
19,-23.05430249333529,False,-26.960010528564453,172.7855987548828
20,-20.18403714974167,False,-22.790870666503903,122.67152404785156
21,-17.84970914806054,False,-18.687952041625977,90.26780700683594
22,-13.083914641181964,False,-13.9682035446167,45.2398796081543
23,-23.764469348653016,False,-28.95427894592285,192.9098663330078
24,-20.385002024169143,False,-24.61281394958496,138.77642822265625
25,-17.213831675350104,False,-18.852230072021484,88.31307983398438
26,-17.431808485650635,False,-18.966642379760746,93.18566131591795
27,-15.07755419401815,False,-17.874332427978516,71.00303649902344
28,-12.764742691218338,False,-13.591285705566406,45.155517578125
29,-21.02466284628445,False,-25.58952713012696,151.1401824951172
30,-15.02545903151681,False,-16.818666458129883,65.44493865966797
31,-20.20613678981964,False,-23.45450592041016,131.06756591796875
32,-21.259649095914536,False,-27.72425079345703,162.1085205078125
33,-16.997218826127757,False,-20.60420799255371,92.32546997070312
34,-23.163317077329896,False,-27.953102111816406,183.81344604492188
35,-26.835403081096707,False,-32.144832611083984,245.4618530273437
36,-18.15350350114414,False,-21.492929458618164,107.62237548828124
37,-17.636622776592144,False,-19.4265251159668,91.79945373535156
38,-19.75902488160744,False,-21.42240524291992,117.03483581542967
39,-12.962315254109887,False,-14.135000228881836,46.32196807861328
40,-23.002268568411736,False,-26.11835670471192,166.4237060546875
41,-13.46695060032604,False,-13.950188636779783,48.52139663696289
42,-21.52706231598191,False,-25.40634155273437,154.24815368652344
43,-12.307727577322822,False,-13.117782592773438,39.293556213378906
44,-15.649028336355943,False,-17.72347640991211,73.35276794433594
45,-10.627343403676022,False,-10.997170448303224,29.166370391845703
46,-21.984916848558147,False,-25.49992179870605,158.84202575683594
47,-19.9295708710215,False,-22.038265228271484,125.73936462402344
48,-17.114010362432293,False,-20.20987892150879,94.67823028564452
49,-11.870100941873597,False,-12.961877822875977,38.36372375488281
50,-17.55671476776633,False,-20.47308921813965,98.37261962890624
51,-17.197930512432745,False,-20.79248237609864,97.71185302734376
52,-13.540385891732024,False,-14.100927352905272,49.164180755615234
53,-19.77085548657248,False,-23.928579330444336,127.13563537597656
54,-14.88362148670872,False,-14.782211303710938,54.52441787719727
55,-14.904619635658545,False,-16.901975631713867,65.08247375488281
56,-19.35615933812924,False,-21.712745666503903,114.76831817626952
57,-18.22575717691827,False,-19.31928443908692,93.8642807006836
58,-17.498529684857235,False,-19.6140193939209,90.05624389648438
59,-15.196264237427846,False,-15.516225814819336,61.56035614013672
60,-22.63930206968569,False,-26.54656791687012,165.1867218017578
