,cumulative_reward,succeed,actor_loss,critic_loss,average_reward
0,0.0,False,0.0455785654485225,0.0005545782041735,0.0
1,0.0,False,0.0284420009702444,0.0001941562659339,0.0
2,0.0,False,-1.50116820805124e-05,9.326269617693228e-11,0.0
3,0.0,False,-0.0212735366076231,0.000110859517008,0.0
4,0.0,False,-0.0300977062433958,0.0002158427378162,0.0
5,0.0,False,-0.0283427238464355,0.0001945279946085,0.0
6,0.0,False,-0.0212049670517444,0.0001069138088496,0.0
7,0.0,False,-0.0107874237000942,2.792876330204308e-05,0.0
8,0.0,False,8.78081118571572e-05,1.946967476129657e-09,0.0
9,0.0,False,0.0096361758187413,2.225411299150437e-05,0.0
10,19.0,False,37.56736373901367,288.1172180175781,0.475
11,23.0,False,36.86159896850586,328.8985290527344,0.575
