,cumulative_reward,succeed,actor_loss,critic_loss,average_reward
0,0.0,False,-8.694416999816895,24.85572624206543,0.0
1,20.0,False,0.9991390109062196,56.88359451293945,0.5
2,9.0,False,4.656424045562744,15.009692192077637,0.225
3,-12.0,False,-15.85627269744873,80.75890350341797,-0.3
4,14.0,False,15.297883987426758,59.09192657470703,0.35
5,20.0,False,22.42283058166504,119.62456512451172,0.5
6,-4.0,False,-11.512079238891602,34.17743682861328,-0.1
7,13.0,False,5.495722770690918,40.378379821777344,0.325
8,-1.0,False,-11.042027473449709,32.284236907958984,-0.025
9,29.0,False,30.469690322875977,205.47183227539065,0.725
10,10.0,False,-0.6293876767158508,18.224031448364254,0.25
11,10.0,False,-2.9647891521453857,19.500476837158203,0.25
12,-2.0,False,-6.340474605560303,13.404385566711426,-0.05
13,25.0,False,30.92999649047852,206.12551879882807,0.625
14,-6.0,False,-8.043092727661133,17.005613327026367,-0.15
15,5.0,False,19.15118980407715,90.79092407226562,0.125
16,16.0,False,8.222471237182617,36.18352890014648,0.4
17,24.0,False,34.403167724609375,267.0666198730469,0.6
18,6.0,False,2.424627780914306,6.471457958221436,0.15
19,24.0,False,17.65987777709961,86.06441497802734,0.6
20,8.0,False,0.5949910283088684,10.886978149414062,0.2
21,11.0,False,5.869655609130859,18.52427101135254,0.275
22,4.0,False,-2.824698209762573,6.421887874603272,0.1
23,-12.0,False,-16.99985122680664,63.73164749145508,-0.3
24,33.0,False,24.139175415039062,226.6859130859375,0.825
25,5.0,False,6.2928547859191895,12.017499923706056,0.125
26,4.0,False,4.35777759552002,8.078001976013184,0.1
27,6.0,False,4.992092132568359,9.053140640258787,0.15
28,-12.0,False,-12.467613220214844,40.65802001953125,-0.3
29,2.0,False,9.030192375183104,30.67619132995605,0.05
30,10.0,False,4.410919189453125,16.097379684448242,0.25
31,24.0,False,18.96748924255371,117.48388671875,0.6
32,8.0,False,-2.902693510055542,12.26201057434082,0.2
33,7.0,False,-3.2481510639190674,21.19649314880371,0.175
34,-2.0,False,-9.854515075683594,23.067121505737305,-0.05
35,0.0,False,7.106375217437744,19.264942169189453,0.0
36,6.0,False,7.835818767547607,20.079368591308597,0.15
37,28.0,False,25.59441947937012,172.0643310546875,0.7
38,2.0,False,12.333574295043944,45.88190841674805,0.05
39,3.0,False,-4.636145114898682,20.787015914916992,0.075
40,29.0,False,17.270265579223633,156.57894897460938,0.725
41,5.0,False,1.0312957763671875,9.989235877990724,0.125
42,0.0,False,-4.608222484588623,17.700237274169922,0.0
43,-1.0,False,-18.49454689025879,85.07694244384766,-0.025
44,0.0,False,3.989009141921997,13.790431022644045,0.0
45,30.0,False,22.619047164916992,157.6697998046875,0.75
46,-10.0,False,-12.112090110778809,41.55256652832031,-0.25
47,12.0,False,4.628187656402588,20.86992454528809,0.3
48,18.0,False,5.7632551193237305,39.46356201171875,0.45
49,-4.0,False,-10.216681480407717,24.842506408691406,-0.1
50,11.0,False,2.78923773765564,40.026466369628906,0.275
51,16.0,False,13.102871894836426,42.85177230834961,0.4
52,13.0,False,8.975977897644043,32.2242431640625,0.325
53,23.0,False,19.567480087280277,100.90128326416016,0.575
54,-6.0,False,0.6879405975341797,13.397613525390623,-0.15
55,-8.0,False,-14.86612606048584,55.8149299621582,-0.2
56,7.0,False,4.956038475036621,17.864599227905273,0.175
57,22.0,False,11.404685974121094,72.79925537109375,0.55
58,6.0,False,-10.523478507995604,52.555213928222656,0.15
59,28.0,False,26.852521896362305,193.63821411132807,0.7
60,15.0,False,-1.7803505659103394,39.08025741577149,0.375
61,8.0,False,16.156705856323242,64.7090072631836,0.2
62,8.0,False,3.665391683578491,7.193393707275391,0.2
63,-10.0,False,-8.455458641052246,31.89234733581543,-0.25
64,16.0,False,18.19437026977539,89.87894439697266,0.4
65,31.0,False,30.16595458984375,300.69287109375,0.775
66,-8.0,False,-21.911901473999023,103.86209869384766,-0.2
67,0.0,False,-2.928608655929565,6.654798030853272,0.0
68,6.0,False,7.523473262786865,20.71347999572754,0.15
69,23.0,False,23.941267013549805,158.4060821533203,0.575
70,39.0,False,30.496118545532227,304.2291564941406,0.975
71,-8.0,False,-17.66450309753418,81.3599624633789,-0.2
72,7.0,False,-3.1440179347991943,30.767810821533203,0.175
73,14.0,False,-5.50026798248291,44.914283752441406,0.35
74,2.0,False,5.107923984527588,9.003612518310547,0.05
75,12.0,False,-2.937300205230713,27.16468811035156,0.3
76,22.0,False,18.34126091003418,90.91867065429688,0.55
77,16.0,False,10.486910820007324,42.783016204833984,0.4
78,27.0,False,21.501039505004883,147.4674072265625,0.675
79,8.0,False,5.759519100189209,11.177652359008787,0.2
80,2.0,False,-13.332025527954102,62.25973129272461,0.05
81,21.0,False,15.441116333007812,82.87681579589844,0.525
82,0.0,False,-11.12895965576172,45.66814041137695,0.0
83,17.0,False,18.39032554626465,81.99015045166016,0.425
84,32.0,False,27.01830101013184,242.8660888671875,0.8
85,-2.0,False,-5.469666957855225,31.135740280151367,-0.05
86,129.0,True,220.7189178466797,10954.6650390625,3.225
87,34.0,False,15.252881050109863,183.2330322265625,0.85
88,13.0,False,3.2061927318573,13.390883445739746,0.325
89,19.0,False,11.370619773864746,74.04817962646484,0.475
90,8.0,False,14.516133308410645,100.31111907958984,0.2
91,136.0,True,206.6230010986328,9603.1484375,3.4
92,29.0,False,31.92746353149414,272.73858642578125,0.725
93,30.0,False,32.65537643432617,283.4728088378906,0.75
94,39.0,False,32.68164825439453,316.34185791015625,0.975
95,-10.0,False,-13.826898574829102,43.21787643432617,-0.25
96,22.0,False,12.548974990844728,62.22426223754883,0.55
97,5.0,False,-12.525936126708984,40.4511947631836,0.125
98,133.0,True,174.7978057861328,9242.9111328125,3.325
99,131.0,True,200.43731689453125,10678.5673828125,3.275
100,141.0,True,198.27459716796875,9857.26171875,3.525
101,33.0,False,27.29569435119629,261.1663513183594,0.825
102,-15.0,False,-34.04118728637695,378.2292785644531,-0.375
103,-8.0,False,-24.03019142150879,171.1619110107422,-0.2
104,19.0,False,9.106002807617188,64.21256256103516,0.475
105,15.0,False,2.5894572734832764,53.8109245300293,0.375
106,142.0,True,208.8882598876953,10334.6044921875,3.55
107,33.0,False,20.170223236083984,200.72702026367188,0.825
108,142.0,True,189.1578369140625,8926.52734375,3.55
109,43.0,False,32.43775177001953,416.5789184570313,1.075
110,42.0,False,42.31168746948242,483.6813049316406,1.05
111,27.0,False,23.75752258300781,168.3734893798828,0.675
112,12.0,False,-1.6482563018798828,22.816207885742188,0.3
113,30.0,False,18.152097702026367,165.2484130859375,0.75
114,34.0,False,26.955493927001957,202.82521057128903,0.85
115,140.0,True,170.8081512451172,8552.3876953125,3.5
116,24.0,False,26.67210960388184,155.41355895996094,0.6
117,10.0,False,-4.364961624145508,27.4182071685791,0.25
118,31.0,False,23.655776977539062,149.28659057617188,0.775
119,5.0,False,3.0365993976593018,17.332612991333008,0.125
120,139.0,True,195.07049560546875,9122.5751953125,3.475
121,12.0,False,-7.577927589416504,70.21837615966797,0.3
122,34.0,False,36.173133850097656,366.4739990234375,0.85
123,17.0,False,-4.475736141204834,80.48506164550781,0.425
124,29.0,False,21.50142288208008,157.46487426757812,0.725
125,14.0,False,8.422613143920898,39.27309799194336,0.35
126,33.0,False,16.84814453125,226.75308227539065,0.825
127,16.0,False,12.814190864562988,42.0780143737793,0.4
128,-6.0,False,-23.19660758972168,148.3186798095703,-0.15
129,18.0,False,11.17029094696045,45.17770004272461,0.45
130,28.0,False,34.48032760620117,297.6910095214844,0.7
131,23.0,False,6.557697296142578,53.562477111816406,0.575
132,132.0,True,198.86447143554688,9798.3408203125,3.3
133,17.0,False,9.081280708312988,90.3070831298828,0.425
134,27.0,False,18.56282997131348,136.59951782226562,0.675
135,9.0,False,11.618660926818848,50.5499267578125,0.225
136,131.0,True,189.4005126953125,9304.0244140625,3.275
137,26.0,False,17.602005004882812,98.20975494384766,0.65
138,39.0,False,34.913795471191406,473.8215026855469,0.975
139,16.0,False,2.8929100036621094,23.258331298828125,0.4
140,-14.0,False,-24.90944480895996,160.2439727783203,-0.35
141,11.0,False,13.660435676574709,65.96878814697266,0.275
142,13.0,False,-3.3974087238311768,65.291748046875,0.325
143,22.0,False,14.63581371307373,90.5296859741211,0.55
144,15.0,False,3.3230788707733154,14.361241340637209,0.375
145,3.0,False,-2.482951641082764,9.427891731262209,0.075
146,-14.0,False,-26.09541320800781,259.7259216308594,-0.35
147,21.0,False,12.802515983581545,74.76497650146484,0.525
148,148.0,True,196.3336181640625,9833.0390625,3.7
149,21.0,False,18.332918167114254,89.93910217285156,0.525
150,29.0,False,19.223426818847656,154.12832641601562,0.725
151,-18.0,False,-27.404804229736328,204.3223876953125,-0.45
152,20.0,False,-1.6551361083984375,116.80718231201172,0.5
153,30.0,False,36.60527801513672,336.2470397949219,0.75
154,37.0,False,29.43041038513184,297.1365051269531,0.925
155,-1.0,False,-16.32070541381836,99.49651336669922,-0.025
156,25.0,False,25.80072593688965,154.45018005371094,0.625
157,39.0,False,34.098751068115234,282.5252990722656,0.975
158,25.0,False,19.33451461791992,107.92679595947266,0.625
159,143.0,True,178.82257080078125,8945.638671875,3.575
160,30.0,False,20.36384010314941,140.6349334716797,0.75
161,10.0,False,0.8374390006065369,8.128851890563965,0.25
162,35.0,False,22.696964263916016,324.6287841796875,0.875
163,28.0,False,16.414403915405273,102.98076629638672,0.7
164,34.0,False,23.88055419921875,175.04226684570312,0.85
165,25.0,False,26.92782592773437,203.8344573974609,0.625
166,31.0,False,13.883597373962402,142.90354919433594,0.775
167,35.0,False,23.61659240722656,179.40904235839844,0.875
168,32.0,False,15.469592094421388,130.60704040527344,0.8
169,0.0,False,0.1762079298496246,8.070963859558105,0.0
170,-5.0,False,-28.089767456054688,253.13304138183597,-0.125
171,8.0,False,4.228208065032959,11.364477157592772,0.2
172,24.0,False,0.3242271542549133,114.27278137207033,0.6
173,131.0,True,199.2873992919922,8306.130859375,3.275
174,40.0,False,23.460739135742188,241.7953948974609,1.0
175,18.0,False,9.643158912658691,25.39735412597656,0.45
176,122.0,True,188.6910552978516,7773.240234375,3.05
177,42.0,False,41.939483642578125,467.4012756347656,1.05
178,11.0,False,-4.631918907165527,38.784786224365234,0.275
179,32.0,False,20.4904727935791,161.4647216796875,0.8
180,23.0,False,7.304084300994873,62.14666366577149,0.575
181,-4.0,False,-19.295604705810547,84.9328384399414,-0.1
182,22.0,False,5.366310119628906,69.3783187866211,0.55
183,28.0,False,28.874616622924805,256.06768798828125,0.7
184,-2.0,False,-21.21816062927246,118.7473373413086,-0.05
185,33.0,False,12.9306001663208,104.96388244628906,0.825
186,19.0,False,-0.7077938318252563,46.10725021362305,0.475
187,24.0,False,12.736676216125488,52.81720733642578,0.6
188,28.0,False,22.485595703125,197.2076873779297,0.7
189,20.0,False,3.8831899166107178,21.55592155456543,0.5
190,140.0,True,161.9411163330078,6474.673828125,3.5
191,-22.0,False,-44.70893478393555,493.7286682128906,-0.55
192,-2.0,False,-13.110098838806152,60.07116317749024,-0.05
193,26.0,False,22.117542266845703,190.3124237060547,0.65
194,23.0,False,14.722250938415527,90.41275024414062,0.575
195,31.0,False,17.001829147338867,154.36827087402344,0.775
196,26.0,False,9.991077423095703,125.39830780029295,0.65
197,10.0,False,6.729347229003906,26.67656898498535,0.25
198,16.0,False,-2.702401638031006,23.947370529174805,0.4
199,-2.0,False,-13.244684219360352,55.16218185424805,-0.05
200,10.0,False,-5.703113079071045,41.973670959472656,0.25
201,137.0,True,159.1901092529297,6882.0517578125,3.425
202,137.0,True,164.29693603515625,7384.71923828125,3.425
203,4.0,False,-9.545462608337402,31.552276611328125,0.1
204,140.0,True,158.85971069335938,7955.1904296875,3.5
205,5.0,False,-12.029869079589844,44.59433364868164,0.125
206,7.0,False,-1.0827646255493164,16.036245346069336,0.175
207,38.0,False,18.840335845947266,157.21534729003906,0.95
208,25.0,False,0.336907684803009,28.24406242370605,0.625
209,148.0,True,156.45420837402344,8410.5908203125,3.7
210,-18.0,False,-26.884180068969727,194.6167449951172,-0.45
211,146.0,True,146.6294708251953,8881.251953125,3.65
212,127.0,True,153.27029418945312,7056.029296875,3.175
213,37.0,False,23.212451934814453,195.16819763183597,0.925
214,144.0,True,149.4043426513672,8064.3505859375,3.6
215,138.0,True,145.1739959716797,6716.2822265625,3.45
216,-6.0,False,-34.031124114990234,317.0964660644531,-0.15
217,15.0,False,10.26406955718994,44.00728225708008,0.375
218,139.0,True,109.49874114990234,7528.4794921875,3.475
219,10.0,False,-7.927661895751953,55.35581588745117,0.25
220,139.0,True,128.68922424316406,6432.078125,3.475
221,128.0,True,122.8927001953125,5417.75634765625,3.2
222,141.0,True,136.4062042236328,6455.5087890625,3.525
223,152.0,True,127.68128967285156,7790.49072265625,3.8
224,142.0,True,134.1786346435547,6972.802734375,3.55
225,139.0,True,123.7245864868164,6805.94921875,3.475
226,-18.0,False,-44.350624084472656,604.0535278320312,-0.45
227,136.0,True,102.6675796508789,6091.142578125,3.4
228,16.0,False,-5.620162010192871,76.94815826416016,0.4
229,138.0,True,125.80065155029295,5792.2490234375,3.45
230,32.0,False,-1.7179237604141235,152.1934356689453,0.8
231,134.0,True,96.41764831542967,4177.01611328125,3.35
232,29.0,False,-2.0201847553253174,67.11566925048828,0.725
233,143.0,True,148.5232696533203,6501.228515625,3.575
234,141.0,True,140.1704864501953,5452.6865234375,3.525
235,-7.0,False,-31.967920303344727,395.3656005859375,-0.175
236,49.0,False,32.840675354003906,384.2212829589844,1.225
237,139.0,True,120.43181610107422,4405.84033203125,3.475
238,138.0,True,103.635498046875,4224.919921875,3.45
239,141.0,True,100.27693939208984,4926.1162109375,3.525
240,15.0,False,-7.576866149902344,30.677814483642575,0.375
241,136.0,True,126.10287475585938,4397.34912109375,3.4
242,40.0,False,20.612781524658203,137.06466674804688,1.0
243,22.0,False,4.574954986572266,74.73283386230469,0.55
244,5.0,False,-21.375946044921875,116.59089660644533,0.125
245,-11.0,False,-33.971588134765625,587.6925048828125,-0.275
