,state,action,reward,next_state,distribution
10,"[1.0506207942962646, -0.41007399559020996, 0.5911192893981934, 0.0, 1.5707963705062866, 1.2014738321304321, 0.3744502663612366, -39.116722106933594, 2.5350942611694336, 0.5451061725616455, -79.27981567382812]",6,2.0,"[1.039923380387132, -0.3996780349316431, 0.5034572097552517, 1.5707963267948966, 1.5707963267948966, 1.317184471440635, 0.4325416840810092, -43.1767322087714, 2.413857005993531, 0.5214993214472781, -75.52109174991693]","[0.006924539804458618, 0.12807291746139526, 0.0002622956526465714, 0.015250550583004951, 0.14309030771255493, 0.0027420653495937586, 0.21661235392093658, 0.0189491156488657, 0.4664659798145294, 0.0016299166018143296]"
11,"[1.0399234294891357, -0.3996780216693878, 0.5034571886062622, 1.5707963705062866, 1.5707963705062866, 1.3171844482421875, 0.43254169821739197, -43.17673110961914, 2.4138569831848145, 0.5214993357658386, -75.5210952758789]",4,6.0,"[1.0633615220817174, -0.3880967818021161, 0.5407437266711814, 1.5707963267948966, 1.5707963267948966, 1.3123105345973105, 0.4089219129505963, -42.724313178261696, 2.1499988525357345, 0.469672750991458, -67.3347236966091]","[0.005104636773467064, 0.10652866214513779, 0.00024688037228770554, 0.014430821873247623, 0.19216133654117584, 0.002554117701947689, 0.16930347681045532, 0.016304196789860725, 0.49163317680358887, 0.0017327457899227738]"
12,"[1.0633615255355835, -0.38809677958488464, 0.5407437086105347, 1.5707963705062866, 1.5707963705062866, 1.3123105764389038, 0.4089219272136688, -42.72431182861328, 2.149998903274536, 0.4696727395057678, -67.33472442626953]",4,6.0,"[1.0628564787487202, -0.3862536375207724, 0.5455686661487299, 1.5707963267948966, 1.5707963267948966, 1.27907925862152, 0.3974365778508804, -41.62739439206268, 1.987957050468113, 0.4357865652032515, -62.279917832468925]","[0.005593290086835623, 0.10293348878622055, 0.0004352468822617084, 0.017016354948282242, 0.2308642566204071, 0.0034013004042208195, 0.1420663595199585, 0.01861897110939026, 0.47669973969459534, 0.0023710192181169987]"
13,"[1.0628564357757568, -0.38625362515449524, 0.5455686450004578, 1.5707963705062866, 1.5707963705062866, 1.2790793180465698, 0.39743658900260925, -41.62739562988281, 1.9879570007324219, 0.43578657507896423, -62.2799186706543]",4,2.0,"[1.0652472176322356, -0.3825264325040641, 0.8891471540384013, 1.5707963267948966, 1.5707963267948966, 1.4681799057097074, 0.4352022791498742, -47.50264145904049, 1.7039441423530466, 0.3815659559155104, -53.48903205444924]","[0.006113779731094837, 0.10205012559890747, 0.0006276087951846421, 0.019206369295716286, 0.24987858533859253, 0.004165714606642723, 0.12933623790740967, 0.020185422152280807, 0.46549880504608154, 0.0029373583383858204]"
14,"[1.0652471780776978, -0.3825264275074005, 0.889147162437439, 1.5707963705062866, 1.5707963705062866, 1.4681799411773682, 0.4352022707462311, -47.50263977050781, 1.7039440870285034, 0.38156595826148987, -53.48903274536133]",0,1.0,"[1.087723618580554, -0.3738190400603349, 0.8955428803314899, 1.5707963267948966, 1.5707963267948966, 1.8468465511459036, 0.627585275580159, -60.81941002863448, 1.6417895786520926, 0.3709390839622872, -51.58166530908943]","[0.0037828285712748766, 0.07467615604400635, 0.0008256580913439393, 0.01766381599009037, 0.32687079906463623, 0.003861034056171775, 0.06368149071931839, 0.01354347076267004, 0.49218255281448364, 0.0029121635016053915]"
15,"[1.0877236127853394, -0.3738190531730652, 0.8955428600311279, 1.5707963705062866, 1.5707963705062866, 1.846846580505371, 0.6275852918624878, -60.81940841674805, 1.6417895555496216, 0.37093907594680786, -51.5816650390625]",5,5.0,"[1.132050168478661, -0.3750112017680203, 0.7352287515757358, 1.5707963267948966, 1.5707963267948966, 1.8117050984999743, 0.595814735884356, -59.39860676824526, 1.4798808159476078, 0.3399216973172025, -46.56876841197089]","[0.001106063835322857, 0.04700598493218422, 0.00039877922972664237, 0.008503797464072704, 0.31684306263923645, 0.0019434697460383177, 0.019491514191031456, 0.005042349919676781, 0.5981845855712891, 0.001480389735661447]"
16,"[1.1320501565933228, -0.3750112056732178, 0.7352287769317627, 1.5707963705062866, 1.5707963705062866, 1.8117051124572754, 0.5958147644996643, -59.39860534667969, 1.4798808097839355, 0.3399216830730438, -46.56876754760742]",4,6.0,"[1.128068684239333, -0.3720609410011489, 0.8031167260359369, 1.5707963267948966, 1.5707963267948966, 1.391272121387063, 0.4079733816125852, -44.95540648317916, 1.2839896686510102, 0.2998613065202158, -40.47007045289473]","[0.001260013086721301, 0.04794462397694588, 0.000564555695746094, 0.009487627074122429, 0.31454014778137207, 0.0025070016272366047, 0.018262261524796486, 0.005473379977047443, 0.5980503559112549, 0.001910033985041082]"
17,"[1.1280686855316162, -0.37206095457077026, 0.8031167387962341, 1.5707963705062866, 1.5707963705062866, 1.3912720680236816, 0.40797337889671326, -44.955406188964844, 1.283989667892456, 0.2998613119125366, -40.470069885253906]",5,2.0,"[1.122795819694672, -0.3793744336097534, 0.6785003851711263, 1.5707963267948966, 1.5707963267948966, 1.5928585394435704, 0.4834201127252222, -51.6862488899115, 1.2235741872222494, 0.2885588008639379, -38.603140160728174]","[0.004779611248522997, 0.07694308459758759, 0.0020421037916094065, 0.021774353459477425, 0.31688955426216125, 0.0068166833370924, 0.045774150639772415, 0.014762792736291885, 0.5047231316566467, 0.005494456738233566]"
18,"[1.122795820236206, -0.3793744444847107, 0.6785004138946533, 1.5707963705062866, 1.5707963705062866, 1.5928585529327393, 0.48342010378837585, -51.686248779296875, 1.223574161529541, 0.28855881094932556, -38.60314178466797]",5,6.0,"[1.11806120387758, -0.3914678876857361, 0.642184684767695, 1.5707963267948966, 1.5707963267948966, 1.4724370471198256, 0.4225388618681687, -47.455301509328194, 1.0924044753499995, 0.2611747013659244, -34.511985247756]","[0.0026023038662970066, 0.06047448515892029, 0.001415420905686915, 0.015163658186793327, 0.3168318271636963, 0.005024752113968134, 0.026153700426220894, 0.009321514517068863, 0.5590856075286865, 0.0039267465472221375]"
19,"[1.1180611848831177, -0.3914678990840912, 0.6421846747398376, 1.5707963705062866, 1.5707963705062866, 1.4724370241165161, 0.4225388765335083, -47.45530319213867, 1.0924044847488403, 0.2611747086048126, -34.511985778808594]",4,6.0,"[1.157503487192646, -0.387594486227759, 0.7160444433668767, 1.5707963267948966, 1.5707963267948966, 1.5110901504782903, 0.4162151449394677, -48.46958537995101, 0.9356367628862436, 0.2332219161567472, -29.68590273230848]","[0.0038152793422341347, 0.06776420027017593, 0.0022808925714343786, 0.019409209489822388, 0.31543755531311035, 0.007176712155342102, 0.03170735388994217, 0.012386642396450043, 0.534298837184906, 0.005723383743315935]"
