,state,action,reward,next_state,distribution
10,"[0.025683872401714325, -0.027783192694187164, 0.008709822781383991, -0.3974151611328125, -0.3963661789894104, 0.04842488467693329, 0.09917722642421722, -0.027607973664999008, -0.010000013746321201, 0.10000009089708328, -0.024959707632660866]",8,-0.4125723498700534,"[0.025494743828129884, -0.028764871343642362, 0.008719419682640783, -0.3985017002343927, -0.2008664458348859, 0.047805342590030886, 0.09909078432980883, -0.02772077781980442, -0.010000013491438253, 0.10000009137406204, -0.02495970701548622]","[0.10880888998508453, 0.09640613943338394, 0.10081448405981064, 0.0921391025185585, 0.09566585719585419, 0.10379669070243835, 0.1040634959936142, 0.09714261442422867, 0.10032057017087936, 0.1008421778678894]"
11,"[0.025494743138551712, -0.028764871880412102, 0.008719420060515404, -0.3985016942024231, -0.2008664458990097, 0.04780534282326698, 0.09909078478813171, -0.027720777317881584, -0.010000013746321201, 0.10000009089708328, -0.024959707632660866]",0,-0.417048406591904,"[0.04746392326745763, -0.034375175451479834, 0.008694793530911404, -0.3976201985423726, -0.20086546591840282, 0.051551212878017325, 0.09983120623879477, -0.027601320874421575, -0.010000013491438253, 0.10000009137406204, -0.02495970701548622]","[0.10842834413051605, 0.09619856625795364, 0.10140412300825119, 0.09214366972446442, 0.095786452293396, 0.10434901714324951, 0.10387863218784332, 0.09741108119487762, 0.09982438385486603, 0.1005757749080658]"
12,"[0.04746392369270325, -0.03437517583370209, 0.008694793097674847, -0.39762020111083984, -0.2008654624223709, 0.0515512116253376, 0.09983120858669281, -0.027601320296525955, -0.010000013746321201, 0.10000009089708328, -0.024959707632660866]",1,-0.4093831484007684,"[-0.056240737681628516, -0.03396282786975391, 0.02474139296111666, -0.3986066695288759, -0.20086546130834737, 0.036130062308977626, 0.09767150229859634, -0.04084572919419782, -0.010000013491438253, 0.10000009137406204, -0.02495970701548622]","[0.10836556553840637, 0.09616518020629883, 0.1015363484621048, 0.09217291325330734, 0.09587076306343079, 0.10435450822114944, 0.10384514182806015, 0.09732478111982346, 0.09981389343738556, 0.10055091977119446]"
13,"[-0.056240737438201904, -0.03396282717585564, 0.024741392582654953, -0.39860665798187256, -0.2008654624223709, 0.036130063235759735, 0.0976715013384819, -0.040845729410648346, -0.010000013746321201, 0.10000009089708328, -0.024959707632660866]",6,-0.4060866621761229,"[-0.05504030839138263, -0.03363499623187938, 0.028130705695994962, -0.19990763746196727, -0.20086545686559543, 0.03398361447681637, 0.09580502672130825, -0.042590466844799946, -0.010000013491438253, 0.10000009137406204, -0.02495970701548622]","[0.10866991430521011, 0.09625780582427979, 0.10096757113933563, 0.09192927926778793, 0.09560362249612808, 0.10437267273664474, 0.10394299030303955, 0.09761141240596771, 0.09998329728841782, 0.10066144913434982]"
14,"[-0.055040307343006134, -0.03363499790430069, 0.028130706399679184, -0.19990763068199158, -0.2008654624223709, 0.033983614295721054, 0.09580502659082413, -0.042590465396642685, -0.010000013746321201, 0.10000009089708328, -0.024959707632660866]",7,-0.40372738764566785,"[-0.05410373756248177, -0.03281287133873789, 0.03434866141012183, -0.3999817770980201, -0.2008654474969651, 0.034084524096162125, 0.09520111948946852, -0.04078960968895795, -0.010000013491438253, 0.10000009137406204, -0.02495970701548622]","[0.10843133181333542, 0.0968281701207161, 0.10021549463272095, 0.09198387712240219, 0.09575863927602768, 0.10455447435379028, 0.1043776199221611, 0.09824395924806595, 0.09989946335554123, 0.09970688819885254]"
15,"[-0.05410373583436012, -0.03281287103891373, 0.034348662942647934, -0.3999817669391632, -0.20086544752120972, 0.03408452495932579, 0.09520111978054047, -0.04078960791230202, -0.010000013746321201, 0.10000009089708328, -0.024959707632660866]",1,-0.40768489225460436,"[-0.14619783761937288, -0.03208931959718875, 0.052040870397886074, -0.40132234078278284, -0.20086542622037307, 0.02237613962632992, 0.09232880538188498, -0.05743627170863752, -0.010000013491438253, 0.10000009137406204, -0.02495970701548622]","[0.1086626648902893, 0.0962575152516365, 0.10096823424100876, 0.09188951551914215, 0.09561087191104889, 0.10436560213565826, 0.10393594950437546, 0.09757247567176819, 0.1000126525759697, 0.10072452574968338]"
16,"[-0.1461978405714035, -0.032089319080114365, 0.05204087123274803, -0.4013223350048065, -0.20086543262004852, 0.02237613871693611, 0.09232880175113678, -0.057436272501945496, -0.010000013746321201, 0.10000009089708328, -0.024959707632660866]",4,-0.38221233247715203,"[-0.1481104971597338, -0.08291567694141477, 0.23212022729603543, -0.39991625299582356, -0.20086541253697998, 0.025412121252446754, 0.0820544446731784, -0.047748362120197285, -0.010000013491438253, 0.10000009137406204, -0.02495970701548622]","[0.10888827592134476, 0.09634768962860107, 0.10037341713905334, 0.09164298325777054, 0.09555678814649582, 0.10437348484992981, 0.1039922907948494, 0.09778842329978943, 0.10015824437141418, 0.10087847709655762]"
17,"[-0.148110494017601, -0.08291567862033844, 0.23212023079395294, -0.39991626143455505, -0.20086541771888733, 0.025412121787667274, 0.08205444365739822, -0.04774836078286171, -0.010000013746321201, 0.10000009089708328, -0.024959707632660866]",1,-0.3871444327225352,"[-0.22454673737085695, -0.08193194554143712, 0.251437127443654, -0.4056090508842045, -0.20086530134498393, 0.013821818774834183, 0.07933782602190992, -0.060529993728624, -0.010000013491438253, 0.10000009137406204, -0.02495970701548622]","[0.10911180078983307, 0.0965472012758255, 0.09968927502632141, 0.09076325595378876, 0.09579139202833176, 0.10429055243730545, 0.10417656600475311, 0.09742086380720139, 0.10029952973127365, 0.1019095703959465]"
18,"[-0.22454673051834106, -0.0819319486618042, 0.25143712759017944, -0.40560904145240784, -0.20086529850959778, 0.013821818865835667, 0.07933782786130905, -0.06052999198436737, -0.010000013746321201, 0.10000009089708328, -0.024959707632660866]",8,-0.38789621689984377,"[-0.22724379844985076, -0.0817517577092648, 0.25508274093503047, -0.4052397708041813, -0.0013652307626266236, 0.014449270269525721, 0.07816245722841103, -0.06250713227456439, -0.010000013491438253, 0.10000009137406204, -0.02495970701548622]","[0.10923142731189728, 0.09662517160177231, 0.09916488826274872, 0.09057639539241791, 0.09568711370229721, 0.10431194305419922, 0.10441619157791138, 0.09759309142827988, 0.10017263144254684, 0.10222114622592926]"
19,"[-0.2272437959909439, -0.0817517563700676, 0.25508272647857666, -0.4052397608757019, -0.0013652307679876685, 0.014449270442128181, 0.07816245406866074, -0.06250713020563126, -0.010000013746321201, 0.10000009089708328, -0.024959707632660866]",8,-0.38527306203835476,"[-0.22609113105380718, -0.08129985159999187, 0.2604028667511953, -0.4051095124013129, 0.19663483880017996, 0.01414851701145653, 0.07733903845771456, -0.061483750959800854, -0.010000013491438253, 0.10000009137406204, -0.02495970701548622]","[0.10884296149015427, 0.09653014689683914, 0.09923451393842697, 0.09051582962274551, 0.09624088555574417, 0.10474150627851486, 0.10420183092355728, 0.09815539419651031, 0.09940823912620544, 0.10212863981723785]"
20,"[-0.22609113156795502, -0.08129984885454178, 0.2604028582572937, -0.4051095247268677, 0.19663484394550323, 0.014148516580462456, 0.0773390382528305, -0.061483751982450485, -0.010000013746321201, 0.10000009089708328, -0.024959707632660866]",7,-0.38392948603090626,"[-0.226472833603661, -0.07943981336331607, 0.26621424711793207, -0.6019171297690091, 0.19663499664761552, 0.018090388871461832, 0.08020220977588277, -0.05539362107211421, -0.010000013491438253, 0.10000009137406204, -0.02495970701548622]","[0.10838888585567474, 0.09621196240186691, 0.09915945678949356, 0.09052688628435135, 0.09673457592725754, 0.10512281954288483, 0.10407903045415878, 0.09870219230651855, 0.09877864271402359, 0.10229556262493134]"
21,"[-0.22647283971309662, -0.07943981140851974, 0.2662142515182495, -0.6019171476364136, 0.19663499295711517, 0.018090389668941498, 0.08020220696926117, -0.05539362132549286, -0.010000013746321201, 0.10000009089708328, -0.024959707632660866]",6,-0.37998710936994307,"[-0.22351636029836897, -0.08016154718328039, 0.27101403171374283, -0.41223486165364864, 0.19663505401065695, 0.014426894628455825, 0.0759293918842015, -0.05888762959708771, -0.010000013491438253, 0.10000009137406204, -0.02495970701548622]","[0.10842309147119522, 0.09562096744775772, 0.09945224225521088, 0.09035633504390717, 0.09667977690696716, 0.10496849566698074, 0.10400144010782242, 0.09771239757537842, 0.09917930513620377, 0.10360603034496307]"
22,"[-0.22351635992527008, -0.08016154915094376, 0.2710140347480774, -0.4122348725795746, 0.19663505256175995, 0.01442689448595047, 0.07592938840389252, -0.058887630701065063, -0.010000013746321201, 0.10000009089708328, -0.024959707632660866]",2,-0.3573131566465473,"[-0.2222849242582079, -0.03546234190429143, 0.2610841728733533, -0.41380662184379435, 0.19663502671990507, 0.008529338518616869, 0.06407816844646314, -0.05646058338345694, -0.010000013491438253, 0.10000009137406204, -0.02495970701548622]","[0.10835734009742737, 0.09620156139135361, 0.09912450611591339, 0.09051594883203506, 0.09674526005983353, 0.10510183870792389, 0.10408816486597061, 0.09864780306816101, 0.0987803265452385, 0.102437324821949]"
23,"[-0.2222849279642105, -0.03546234220266342, 0.2610841691493988, -0.41380661725997925, 0.19663502275943756, 0.00852933805435896, 0.06407816708087921, -0.056460581719875336, -0.010000013746321201, 0.10000009089708328, -0.024959707632660866]",9,-0.35232376779566005,"[-0.2209922810403553, -0.0347775858162338, 0.2677591017723513, -0.41342878105673897, -0.0028648911685511536, 0.0065652630602575646, 0.06305085342013, -0.054607570904125935, -0.009959978301997713, 0.09982469853121054, -0.024751310523663195]","[0.10809323191642761, 0.09618166834115982, 0.09926263242959976, 0.09063630551099777, 0.09674231708049774, 0.10506100952625275, 0.10414880514144897, 0.09867867082357407, 0.09870961308479309, 0.10248573869466782]"
