0.02984,32786,32429,32499
0.039857,32797,32410,32531
0.04984,32813,32445,32544
0.059841,32754,32475,32514
0.069814,32795,32504,32556
0.079812,32759,32430,32487
0.089836,32775,32411,32520
0.099837,32757,32456,32489
0.109842,32823,32450,32508
0.119816,32748,32451,32482
0.129817,32775,32469,32510
0.139818,32791,32464,32531
0.149819,32757,32454,32534
0.15982,32732,32505,32460
0.16976,32805,32477,32488
0.179761,32777,32456,32529
0.189759,32823,32484,32506
0.19976,32753,32516,32529
0.209758,32797,32429,32504
0.219732,32767,32466,32487
0.22973,32781,32450,32520
0.239727,32772,32497,32528
0.249724,32739,32447,32528
0.25972,32787,32420,32509
0.269716,32770,32479,32511
0.279718,32801,32442,32489
0.289718,32762,32386,32477
0.29972,32787,32448,32497
0.309721,32789,32426,32526
0.319722,32811,32488,32497
0.329723,32775,32497,32506
0.339725,32794,32489,32570
0.349726,32785,32444,32512
0.359728,32770,32461,32534
0.369729,32763,32463,32520
0.37973,32763,32448,32483
0.389731,32793,32458,32540
0.399732,32746,32481,32530
0.409733,32774,32456,32513
0.419734,32783,32420,32489
0.429734,32791,32478,32516
0.439734,32781,32490,32521
0.449734,32730,32480,32457
0.459734,32763,32458,32531
0.469734,32762,32453,32539
0.479734,32745,32464,32509
0.489734,32759,32437,32562
0.499733,32734,32463,32528
0.509733,32722,32465,32525
0.519733,32821,32490,32505
0.529733,32806,32408,32491
0.539733,32797,32464,32545
0.549733,32781,32464,32476
0.559733,32795,32426,32469
0.569733,32805,32499,32512
0.579732,32765,32520,32509
0.589731,32779,32460,32548
0.59973,32767,32508,32513
0.609729,32734,32472,32471
0.619728,32781,32436,32547
0.629727,32763,32486,32496
0.639726,32789,32488,32515
0.649725,32762,32460,32439
0.659724,32753,32516,32523
0.669723,32746,32477,32509
0.679722,32751,32508,32507
0.689721,32767,32441,32504
0.69972,32805,32464,32485
0.70967,32763,32468,32504
0.719612,32765,32452,32477
0.729611,32759,32467,32474
0.73961,32766,32507,32524
0.749609,32773,32426,32528
0.759608,32759,32482,32521
0.769607,32806,32430,32537
0.779606,32731,32464,32609
0.789604,32813,32450,32474
0.799602,32753,32494,32523
0.8096,32777,32491,32514
0.819599,32767,32456,32491
0.829597,32777,32488,32498
0.839595,32775,32394,32539
0.849593,32765,32453,32504
0.859591,32734,32461,32532
0.869589,32757,32490,32548
0.879587,32799,32494,32499
0.889585,32771,32457,32516
0.899583,32763,32484,32501
0.909581,32748,32485,32489
0.919573,32773,32466,32479
0.929571,32779,32483,32562
0.939569,32766,32439,32484
0.949567,32783,32446,32532
0.959565,32775,32488,32523
0.969563,32759,32467,32516
0.979561,32729,32448,32493
0.989559,32751,32490,32498
0.999557,32748,32513,32486
1.00955,32743,32465,32500
1.01955,32763,32440,32525
1.02955,32783,32410,32534
1.03955,32805,32484,32531
1.04955,32809,32445,32524
1.05954,32781,32450,32539
1.06954,32789,32514,32494
1.07949,32783,32458,32507
1.08949,32775,32409,32472
1.09949,32813,32438,32483
1.10949,32783,32442,32480
1.11948,32815,32528,32533
1.12947,32755,32479,32524
1.13947,32753,32440,32505
1.14946,32815,32442,32456
1.15946,32749,32466,32489
1.16946,32783,32451,32532
1.17946,32739,32476,32525
1.18945,32774,32473,32547
1.19945,32739,32460,32467
1.20945,32781,32417,32408
1.21944,32803,32424,32521
1.22944,32775,32468,32528
1.23944,32753,32488,32469
1.24944,32771,32459,32556
1.25943,32831,32434,32499
1.26943,32815,32448,32512
1.27943,32799,32522,32521
1.28942,32779,32461,32556
1.29942,32785,32488,32553
1.30942,32785,32442,32544
1.31942,32773,32448,32489
1.32941,32786,32424,32507
1.33941,32837,32474,32495
1.34941,32741,32488,32500
1.3594,32735,32492,32509
1.3694,32757,32501,32508
1.3794,32809,32448,32489
1.38939,32766,32509,32555
1.39939,32789,32442,32531
1.40939,32803,32443,32456
1.41938,32773,32448,32477
1.42938,32806,32495,32543
1.43938,32763,32434,32461
1.44938,32763,32421,32458
1.45937,32781,32484,32509
1.46937,32801,32426,32474
1.47937,32813,32478,32477
1.48936,32751,32481,32584
1.49936,32786,32449,32532
1.50936,32789,32464,32494
1.51936,32797,32436,32549
1.52935,32771,32511,32522
1.53935,32789,32456,32505
1.54935,32755,32462,32478
1.55934,32749,32494,32473
1.56934,32802,32444,32549
1.57934,32758,32427,32496
1.58933,32813,32468,32540
1.59933,32795,32448,32453
1.60933,32790,32472,32491
1.61932,32762,32469,32494
1.62932,32761,32444,32482
1.63932,32822,32459,32524
1.64932,32781,32503,32536
1.65931,32775,32444,32517
1.66931,32761,32436,32518
1.67931,32757,32426,32513
1.6893,32793,32443,32474
1.6993,32767,32454,32529
1.7093,32805,32400,32470
1.7193,32763,32488,32517
1.72929,32734,32520,32525
1.73929,32765,32422,32581
1.74929,32805,32410,32512
1.75928,32791,32442,32551
1.76928,32794,32408,32513
1.77928,32763,32474,32617
1.78927,32823,32510,32544
1.79927,32779,32486,32529
1.80927,32819,32493,32520
1.81926,32794,32487,32570
1.82926,32803,32488,32512
1.83926,32749,32480,32519
1.84925,32762,32416,32501
1.85924,32778,32451,32468
1.86923,32731,32456,32568
1.87923,32767,32444,32481
1.88923,32778,32474,32507
1.89923,32782,32487,32488
1.90922,32746,32445,32503
1.91922,32759,32458,32501
1.9292,32814,32480,32455
1.9392,32834,32493,32506
1.9492,32755,32474,32518
1.9592,32717,32526,32507
1.96919,32755,32465,32508
1.97919,32765,32442,32457
1.98919,32791,32502,32460
1.99918,32794,32525,32492
2.00918,32809,32503,32490
2.01918,32773,32468,32485
2.02917,32799,32466,32490
2.03918,32785,32474,32473
2.04918,32804,32470,32539
2.05918,32773,32476,32517
2.06917,32777,32424,32458
2.07917,32797,32474,32521
2.08917,32773,32521,32522
2.09916,32763,32440,32517
