,state,action,reward,next_state,distribution
10,"[1.0506207942962646, -0.41007399559020996, 0.5911192893981934, 0.0, 1.5707963705062866, 1.2014738321304321, 0.3744502663612366, -39.116722106933594, 2.5350942611694336, 0.5451061725616455, -79.27981567382812]",6,1.0,"[1.039923380387132, -0.3996780349316431, 0.5034572097552517, 1.5707963267948966, 1.5707963267948966, 1.317184471440635, 0.4325416840810092, -43.1767322087714, 2.413857005993531, 0.5214993214472781, -75.52109174991693]","[0.044719256460666656, 0.000352047267369926, 0.011271520517766476, 0.12479806691408157, 0.05499554052948952, 0.0010902646463364363, 0.06852918863296509, 0.01380877010524273, 0.020923905074596405, 0.6595114469528198]"
11,"[1.0399234294891357, -0.3996780216693878, 0.5034571886062622, 1.5707963705062866, 1.5707963705062866, 1.3171844482421875, 0.43254169821739197, -43.17673110961914, 2.4138569831848145, 0.5214993357658386, -75.5210952758789]",4,5.0,"[1.0633615220817174, -0.3880967818021161, 0.5407437266711814, 1.5707963267948966, 1.5707963267948966, 1.3123105345973105, 0.4089219129505963, -42.724313178261696, 2.1499988525357345, 0.469672750991458, -67.3347236966091]","[0.045476436614990234, 0.00047273479867726564, 0.010939309373497963, 0.10493284463882446, 0.056177593767642975, 0.0014694543788209558, 0.060752905905246735, 0.01294415071606636, 0.016072731465101242, 0.6907618641853333]"
12,"[1.0633615255355835, -0.38809677958488464, 0.5407437086105347, 1.5707963705062866, 1.5707963705062866, 1.3123105764389038, 0.4089219272136688, -42.72431182861328, 2.149998903274536, 0.4696727395057678, -67.33472442626953]",4,5.0,"[1.0628564787487202, -0.3862536375207724, 0.5455686661487299, 1.5707963267948966, 1.5707963267948966, 1.27907925862152, 0.3974365778508804, -41.62739439206268, 1.987957050468113, 0.4357865652032515, -62.279917832468925]","[0.052594903856515884, 0.0009003282757475972, 0.013792304322123528, 0.10164924710988998, 0.06544577330350876, 0.002619863720610738, 0.06497105956077576, 0.015230851247906685, 0.016765475273132324, 0.66603022813797]"
13,"[1.0628564357757568, -0.38625362515449524, 0.5455686450004578, 1.5707963705062866, 1.5707963705062866, 1.2790793180465698, 0.39743658900260925, -41.62739562988281, 1.9879570007324219, 0.43578657507896423, -62.2799186706543]",4,1.0,"[1.0652472176322356, -0.3825264325040641, 0.8891471540384013, 1.5707963267948966, 1.5707963267948966, 1.4681799057097074, 0.4352022791498742, -47.50264145904049, 1.7039441423530466, 0.3815659559155104, -53.48903205444924]","[0.05716154724359512, 0.001348030287772417, 0.016430553048849106, 0.1015777736902237, 0.07119020819664001, 0.0038050361908972263, 0.0703170970082283, 0.017312580719590187, 0.01829380914568901, 0.6425634026527405]"
14,"[1.0652471780776978, -0.3825264275074005, 0.889147162437439, 1.5707963705062866, 1.5707963705062866, 1.4681799411773682, 0.4352022707462311, -47.50263977050781, 1.7039440870285034, 0.38156595826148987, -53.48903274536133]",0,1.0,"[1.087723618580554, -0.3738190400603349, 0.8955428803314899, 1.5707963267948966, 1.5707963267948966, 1.8468465511459036, 0.627585275580159, -60.81941002863448, 1.6417895786520926, 0.3709390839622872, -51.58166530908943]","[0.05863074213266373, 0.0024858859833329916, 0.02019161731004715, 0.07656842470169067, 0.07890740036964417, 0.005626225844025612, 0.07597944885492325, 0.016280412673950195, 0.014155306853353977, 0.6511746048927307]"
15,"[1.0877236127853394, -0.3738190531730652, 0.8955428600311279, 1.5707963705062866, 1.5707963705062866, 1.846846580505371, 0.6275852918624878, -60.81940841674805, 1.6417895555496216, 0.37093907594680786, -51.5816650390625]",5,5.0,"[1.132050168478661, -0.3750112017680203, 0.7352287515757358, 1.5707963267948966, 1.5707963267948966, 1.8117050984999743, 0.595814735884356, -59.39860676824526, 1.4798808159476078, 0.3399216973172025, -46.56876841197089]","[0.05317402631044388, 0.0022803153842687607, 0.02146921493113041, 0.06200224161148071, 0.09947700798511505, 0.004870142787694931, 0.07231801748275757, 0.011014656163752079, 0.007606617175042629, 0.6657878160476685]"
16,"[1.1320501565933228, -0.3750112056732178, 0.7352287769317627, 1.5707963705062866, 1.5707963705062866, 1.8117051124572754, 0.5958147644996643, -59.39860534667969, 1.4798808097839355, 0.3399216830730438, -46.56876754760742]",4,5.0,"[1.128068684239333, -0.3720609410011489, 0.8031167260359369, 1.5707963267948966, 1.5707963267948966, 1.391272121387063, 0.4079733816125852, -44.95540648317916, 1.2839896686510102, 0.2998613065202158, -40.47007045289473]","[0.06134466826915741, 0.0031380930449813604, 0.026569843292236328, 0.06775052845478058, 0.11769743263721466, 0.00627556350082159, 0.07955636829137802, 0.01240547839552164, 0.008756126277148724, 0.6165059804916382]"
17,"[1.1280686855316162, -0.37206095457077026, 0.8031167387962341, 1.5707963705062866, 1.5707963705062866, 1.3912720680236816, 0.40797337889671326, -44.955406188964844, 1.283989667892456, 0.2998613119125366, -40.470069885253906]",5,1.0,"[1.122795819694672, -0.3793744336097534, 0.6785003851711263, 1.5707963267948966, 1.5707963267948966, 1.5928585394435704, 0.4834201127252222, -51.6862488899115, 1.2235741872222494, 0.2885588008639379, -38.603140160728174]","[0.07491268962621689, 0.0062904939986765385, 0.03580723702907562, 0.08752822875976562, 0.11369054764509201, 0.012476268224418163, 0.09413299709558487, 0.023516150191426277, 0.01882307603955269, 0.53282231092453]"
18,"[1.122795820236206, -0.3793744444847107, 0.6785004138946533, 1.5707963705062866, 1.5707963705062866, 1.5928585529327393, 0.48342010378837585, -51.686248779296875, 1.223574161529541, 0.28855881094932556, -38.60314178466797]",5,5.0,"[1.11806120387758, -0.3914678876857361, 0.642184684767695, 1.5707963267948966, 1.5707963267948966, 1.4724370471198256, 0.4225388618681687, -47.455301509328194, 1.0924044753499995, 0.2611747013659244, -34.511985247756]","[0.0767262801527977, 0.005902063567191362, 0.03770779073238373, 0.08136378228664398, 0.13509641587734222, 0.0110320458188653, 0.09395455569028854, 0.018503421917557716, 0.013905065134167671, 0.5258086919784546]"
19,"[1.1180611848831177, -0.3914678990840912, 0.6421846747398376, 1.5707963705062866, 1.5707963705062866, 1.4724370241165161, 0.4225388765335083, -47.45530319213867, 1.0924044847488403, 0.2611747086048126, -34.511985778808594]",4,5.0,"[1.157503487192646, -0.387594486227759, 0.7160444433668767, 1.5707963267948966, 1.5707963267948966, 1.5110901504782903, 0.4162151449394677, -48.46958537995101, 0.9356367628862436, 0.2332219161567472, -29.68590273230848]","[0.08417531102895737, 0.008072583936154842, 0.044687669724226, 0.08865650743246078, 0.14247334003448486, 0.014710867777466774, 0.10060916095972061, 0.022653404623270035, 0.017592590302228928, 0.47636860609054565]"
