,reward,succeeds
0,-12.062916781669285,False
1,-16.829650669862307,False
2,-18.320572964096304,False
3,-14.791090122773504,False
4,-14.32916897902123,False
5,-15.01137944243482,False
6,-15.204601259040208,False
7,-13.079455102551561,False
8,-12.543115989063454,False
9,-14.78404308550042,False
10,-14.507293501359882,False
11,-14.12042833008938,False
12,-14.848701775393183,False
13,-14.634034626074437,False
14,-13.900443611540073,False
15,-14.603065587292122,False
16,-13.379411248784066,False
17,-15.271431230653441,False
18,-15.11816031740236,False
19,-15.196127519869183,False
20,-14.82265242547238,False
21,-15.365318211681586,False
22,-16.405855197267126,False
23,-15.0696661736695,False
24,-15.00289080336215,False
25,-15.075767819482072,False
26,-15.08109705943965,False
27,-15.1323675176454,False
28,-15.085076839446767,False
29,-15.093407858500587,False
30,-14.958563025939217,False
31,-15.071521848610546,False
32,-15.10369169745085,False
33,-15.142354072803426,False
34,-15.136097578631906,False
35,-15.10697751493228,False
36,-15.152314586695645,False
37,-15.083512945472107,False
38,-15.102885197513595,False
39,-15.043779796965092,False
40,-14.994721928415123,False
41,-14.89818302539058,False
42,-15.091149015252805,False
43,-14.895925622650985,False
44,-14.934921762899133,False
45,-15.040550916247245,False
46,-14.933298811225292,False
47,-14.842715830271537,False
48,-14.929158719377469,False
49,-14.921173169123701,False
50,-14.839163637261278,False
51,-15.029964317827725,False
52,-15.08282231566356,False
53,-14.931089944883974,False
54,-14.991591367463894,False
55,-14.84939241061406,False
56,-15.053652718598451,False
57,-14.936624189132363,False
58,-15.045025777831016,False
59,-15.075792068672417,False
60,-14.947841396576976,False
61,-15.063044063346045,False
62,-15.092680059910263,False
63,-14.92259720224471,False
64,-15.051595219008385,False
65,-14.993434568623147,False
66,-15.099568587284821,False
67,-15.072139247539706,False
68,-15.101545723777217,False
69,-15.026231292468674,False
70,-14.99563896722069,False
71,-15.072433694334652,False
72,-14.961735490268564,False
73,-14.751156842637666,False
74,-14.787120780227907,False
75,-15.05662780990947,False
76,-15.092436401711378,False
77,-14.950693524520657,False
78,-14.939621256551204,False
79,-14.986143221265467,False
80,-15.000297167470388,False
81,-14.952428771193178,False
82,-15.074424220495512,False
83,-15.053693110015468,False
84,-14.871400353809701,False
85,-14.985224401708667,False
86,-14.879621239140766,False
87,-14.875180270950425,False
88,-14.92593759687754,False
89,-15.004347318816126,False
90,-14.891263343152206,False
91,-15.0109102612888,False
92,-15.073386812301607,False
93,-14.861627202798859,False
94,-14.85376804175374,False
95,-14.969676762121777,False
96,-14.909993383243958,False
97,-15.082266437815417,False
98,-15.049387182381235,False
99,-15.03642818576439,False
100,-15.016778677844798,False
101,-15.053577321314295,False
102,-14.98950267867667,False
103,-14.93814065850653,False
104,-15.064561527663068,False
105,-15.103934709917356,False
106,-14.958558636347886,False
107,-15.11507465989986,False
108,-14.920242425307121,False
109,-15.032722045537133,False
110,-14.976938928181337,False
111,-14.922048875898641,False
112,-15.100870939487475,False
113,-14.807643748139256,False
114,-14.861413327922026,False
115,-15.09586559853867,False
116,-14.806781910805014,False
117,-15.066525709994185,False
118,-14.938119908182781,False
119,-14.864531185956828,False
120,-14.956036741858297,False
121,-14.985442304890798,False
122,-15.105241234718157,False
123,-15.001364259991643,False
124,-15.047186477658707,False
125,-14.908549219464682,False
126,-14.824324585925128,False
127,-14.936493609669379,False
128,-14.926445832664028,False
129,-14.986359228990745,False
130,-15.110632478742042,False
131,-15.061377764329137,False
