,cumulative_reward,succeed,actor_loss,critic_loss,average_reward
0,5.0,False,17.11600112915039,68.12785339355469,0.1
1,-10.0,False,-6.253697872161865,16.83204460144043,-0.2
2,-18.0,False,-10.941953659057617,65.22596740722656,-0.36
3,-12.0,False,-12.660090446472168,56.2335090637207,-0.24
4,-16.0,False,-9.133438110351562,56.47453308105469,-0.32
5,-8.0,False,-7.413952350616455,29.69487190246582,-0.16
6,-2.0,False,0.6286464929580688,16.686450958251953,-0.04
7,-32.0,False,-24.351301193237305,163.75180053710938,-0.64
8,-12.0,False,10.953993797302246,106.93245697021484,-0.24
9,-2.0,False,4.958847522735596,26.18144416809082,-0.04
10,-16.0,False,-13.608698844909668,43.182334899902344,-0.32
11,0.0,False,15.766207695007324,63.04399108886719,0.0
12,12.0,False,9.95869255065918,28.911840438842773,0.24
13,2.0,False,17.735031127929688,72.81753540039062,0.04
14,-2.0,False,-1.3837708234786987,5.0530171394348145,-0.04
15,6.0,False,11.709671020507812,30.8220157623291,0.12
16,2.0,False,7.322819709777832,16.68673324584961,0.04
17,4.0,False,11.09974479675293,31.911733627319336,0.08
18,11.0,False,24.96636962890625,134.9123077392578,0.22
19,-18.0,False,-15.846467018127441,55.676815032958984,-0.36
20,-6.0,False,-10.332097053527832,30.54183006286621,-0.12
21,4.0,False,3.473322868347168,7.715408802032471,0.08
22,-28.0,False,-27.107120513916016,196.01528930664062,-0.56
23,-10.0,False,-15.043009757995605,51.34059143066406,-0.2
24,10.0,False,16.107789993286133,67.11341857910156,0.2
25,14.0,False,5.071425914764404,23.76443862915039,0.28
26,-10.0,False,3.8430862426757812,18.945201873779297,-0.2
27,-8.0,False,2.9876060485839844,16.99971580505371,-0.16
28,-16.0,False,-18.13519287109375,69.79580688476562,-0.32
29,7.0,False,2.589369535446167,33.896629333496094,0.14
30,0.0,False,0.17696212232112885,14.541666984558105,0.0
31,-5.0,False,-11.530501365661621,34.98488235473633,-0.1
32,33.0,False,27.923566818237305,268.8974304199219,0.66
33,0.0,False,2.9631993770599365,11.08353042602539,0.0
34,23.0,False,15.678539276123047,86.15796661376953,0.46
35,-8.0,False,-6.739118576049805,11.342045783996582,-0.16
36,-26.0,False,-26.503984451293945,156.56829833984375,-0.52
37,-22.0,False,-27.53074073791504,191.71604919433594,-0.44
38,-10.0,False,-12.591944694519043,34.761470794677734,-0.2
39,-6.0,False,-1.2573394775390625,9.723444938659668,-0.12
40,-6.0,False,-1.363625168800354,42.22663879394531,-0.12
41,4.0,False,10.182785034179688,29.05925178527832,0.08
42,2.0,False,8.16120719909668,28.363929748535156,0.04
43,-2.0,False,0.005442886147648096,1.6736254692077637,-0.04
44,0.0,False,7.0076165199279785,23.01637077331543,0.0
45,2.0,False,2.806385040283203,5.866487979888916,0.04
46,-18.0,False,-26.22092056274414,143.8341064453125,-0.36
47,2.0,False,1.4657174348831177,2.102260112762451,0.04
48,2.0,False,3.253540515899658,5.050239562988281,0.04
49,0.0,False,-0.19701018929481506,7.702081203460693,0.0
50,0.0,False,5.56582498550415,12.74543571472168,0.0
51,0.0,False,8.134318351745605,17.862510681152344,0.0
52,-20.0,False,-13.54733657836914,86.0295181274414,-0.4
53,-2.0,False,2.2757763862609863,11.36548900604248,-0.04
54,7.0,False,8.709397315979004,32.625,0.14
55,-2.0,False,-9.94229507446289,38.75829315185547,-0.04
56,-18.0,False,-20.88504409790039,94.78104400634766,-0.36
