,state,action,reward,next_state
50,"0.42275637,0.10355195",4,-1.0680023524648128,"0.4411732572428237,0.10355194599305517"
51,"0.44117326,0.10355195",3,-1.1230884495180655,"0.46871630576945006,0.10355194599305517"
52,"0.4687163,0.10355195",0,-1.1383359025762452,"0.4763400322985399,0.10355194599305517"
53,"0.47634003,0.10355195",0,-1.1473601621757106,"0.48085216209827253,0.10355194599305517"
54,"0.48085216,0.10355195",1,-1.1630417473693506,"0.48869295469509255,0.10355194599305517"
55,"0.48869297,0.10355195",6,-1.168230599113303,"0.4912873805670688,0.10355194599305517"
56,"0.49128738,0.10355195",5,-1.1552754202123483,"0.4849428657572014,0.10355194599305517"
57,"0.48494285,0.10355195",4,-1.1639835558634597,"0.4891638589421471,0.10355194599305517"
58,"0.48916385,0.10355195",7,-1.1724275737284506,"0.49338586787464256,0.10355194599305517"
59,"0.49338588,0.10355195",4,-1.170918581251783,"0.4926313716363088,0.10355194599305517"
60,"0.13195203,0.10344201",8,-0.4502314746545308,"0.13228783485106774,0.10355193498413176"
61,"0.13228783,0.10355193",8,-0.43949532136260805,"0.12691974169172127,0.10355194599305517"
62,"0.12691975,0.10355195",4,-0.42305329349937393,"0.11869872776010419,0.10355194599305517"
63,"0.11869873,0.10355195",5,-0.40435379239732516,"0.10934897720907984,0.10355194599305517"
64,"0.109348975,0.10355195",8,-0.40262626722318795,"0.10848521462201122,0.10355194599305517"
65,"0.108485214,0.10355195",9,-0.40147282009667395,"0.10790849105875419,0.10355194599305517"
66,"0.107908495,0.10355195",4,-0.4012077281975027,"0.10777594510916862,0.10355194599305517"
67,"0.10777594,0.10355195",1,-0.41329920916798357,"0.11382168559440904,0.10355194599305517"
68,"0.113821685,0.10355195",3,-0.44111340075560757,"0.127728781388221,0.10355194599305517"
69,"0.12772878,0.10355195",0,-0.45164750743752524,"0.13299583472917983,0.10355194599305517"
70,"0.13299583,0.10355195",5,-0.4771276193464957,"0.1456736542137878,0.10355194599305517"
71,"0.14567365,0.10355195",6,-0.47882820873793597,"0.14658618537938523,0.10355194599305517"
72,"0.14658618,0.10355195",1,-0.4797122252729019,"0.14702819364686817,0.10355194599305517"
73,"0.1470282,0.10355195",4,-0.5257916682046555,"0.170067915112745,0.10355194599305517"
74,"0.17006792,0.10355195",3,-0.5852235068749206,"0.19978383444787756,0.10355194599305517"
75,"0.19978383,0.10355195",3,-0.6638824998320131,"0.23911333092642376,0.10355194599305517"
76,"0.23911333,0.10355195",3,-0.7485652200498248,"0.28145469103532966,0.10355194599305517"
77,"0.28145468,0.10355195",4,-0.8361773724622964,"0.3246395905311276,0.10355194599305517"
78,"0.3246396,0.10355195",9,-0.9243056438492503,"0.3693249029350424,0.10355194599305517"
79,"0.3693249,0.10355195",9,-0.9768073425707916,"0.39557575229581304,0.10355194599305517"
80,"0.39557576,0.10355195",0,-0.9928661448390403,"0.4036051534299374,0.10355194599305517"
81,"0.40360516,0.10355195",0,-1.0068337334328676,"0.4105889477268511,0.10355194599305517"
82,"0.41058895,0.10355195",5,-1.0112186358966366,"0.41278139895873556,0.10355194599305517"
83,"0.4127814,0.10355195",6,-1.0074462486775915,"0.4109840221090454,0.10355194599305517"
84,"0.410984,0.10355195",4,-1.0558696155935852,"0.43465854855103814,0.10355194599305517"
85,"0.43465856,0.10355195",0,-1.0860057254113913,"0.4501516929425125,0.10355194599305517"
86,"0.45015168,0.10355195",1,-1.0980857069117522,"0.45621493446629335,0.10355194599305517"
87,"0.45621493,0.10355195",0,-1.1067888394736956,"0.460566500747265,0.10355194599305517"
88,"0.4605665,0.10355195",5,-1.0834888396923765,"0.4489165008566055,0.10355194599305517"
89,"0.4489165,0.10355195",1,-1.0732974805555675,"0.443820821288201,0.10355194599305517"
90,"0.13175137,0.10344201",5,-0.44998816671750497,"0.1321662104406928,0.10355191527870644"
91,"0.1321662,0.10355192",7,-0.4381327679004009,"0.1262384649606177,0.10355194599305517"
92,"0.12623847,0.10355195",8,-0.4167456078877142,"0.11554488495427435,0.10355194599305517"
93,"0.115544885,0.10355195",7,-0.40304677392488875,"0.10869546797286159,0.10355194599305517"
94,"0.10869547,0.10355195",2,-0.40167712002805833,"0.10801064102444642,0.10355194599305517"
95,"0.10801064,0.10355195",2,-0.40058294549258866,"0.10746355375671159,0.10355194599305517"
96,"0.10746355,0.10355195",4,-0.4004956064723263,"0.1074198842465804,0.10355194599305517"
97,"0.107419886,0.10355195",5,-0.39831510890375166,"0.10632963546229307,0.10355194599305517"
98,"0.106329635,0.10355195",3,-0.40257823517569036,"0.1084611985982624,0.10355194599305517"
99,"0.1084612,0.10355195",4,-0.42891950376006394,"0.12163183289044921,0.10355194599305517"
100,"0.12163183,0.10355195",6,-0.4622381716641395,"0.13822128136077416,0.10355194599305517"
101,"0.13822128,0.10355195",5,-0.4914515927768893,"0.1528978773988619,0.10355194599305517"
102,"0.15289788,0.10355195",4,-0.49677912574775385,"0.15556164388429414,0.10355194599305517"
103,"0.15556164,0.10355195",0,-0.49579199909715677,"0.15506808055899562,0.10355194599305517"
104,"0.15506808,0.10355195",9,-0.49571862056275673,"0.15503139129179558,0.10355194599305517"
105,"0.1550314,0.10355195",8,-0.49569679703566993,"0.1550204795282522,0.10355194599305517"
106,"0.15502048,0.10355195",2,-0.43967098083015577,"0.1270075714254951,0.10355194599305517"
107,"0.12700757,0.10355195",9,-0.39303515085403873,"0.10368965643743658,0.10355194599305517"
108,"0.103689656,0.10355195",4,-0.38977396618849414,"0.10205906410466428,0.10355194599305517"
109,"0.10205907,0.10355195",5,-0.3910200837652309,"0.10268212289303266,0.10355194599305517"
110,"0.10268212,0.10355195",1,-0.39264783620842425,"0.10349599911462937,0.10355194599305517"
111,"0.103496,0.10355195",1,-0.406117015248713,"0.11023058863477374,0.10355194599305517"
112,"0.11023059,0.10355195",6,-0.43029140597087867,"0.12231778399585658,0.10355194599305517"
113,"0.12231778,0.10355195",0,-0.41407798481120606,"0.11421107341602026,0.10355194599305517"
114,"0.114211075,0.10355195",3,-0.4027827720299585,"0.10856346702539647,0.10355194599305517"
115,"0.10856347,0.10355195",0,-0.4259996925156111,"0.1201719272682228,0.10355194599305517"
116,"0.12017193,0.10355195",4,-0.4598273907653969,"0.13708577639311567,0.10355194599305517"
117,"0.13708578,0.10355195",8,-0.492015192776999,"0.15317967739891675,0.10355194599305517"
118,"0.15317968,0.10355195",2,-0.43853083308559704,"0.12643749755321573,0.10355194599305517"
119,"0.1264375,0.10355195",1,-0.3905268603623513,"0.10248936902908286,0.10355194599305517"
120,"0.13253896,0.10344907",7,-0.4487870447509724,"0.13157256047328472,0.103547307934801"
121,"0.13157256,0.103547305",8,-0.4358644481627354,"0.1251043050917849,0.10355194599305517"
122,"0.12510431,0.10355195",0,-0.41611650821862334,"0.1152431802628166,0.10355194599305517"
123,"0.11524318,0.10355195",6,-0.4006035269989585,"0.10747384450989647,0.10355194599305517"
124,"0.10747384,0.10355195",2,-0.3992461133274914,"0.10679513767416292,0.10355194599305517"
125,"0.10679514,0.10355195",5,-0.39806968343567517,"0.10620692272825484,0.10355194599305517"
126,"0.10620692,0.10355195",8,-0.39686595566599314,"0.10560505884341383,0.10355194599305517"
127,"0.10560506,0.10355195",1,-0.3969626214771722,"0.10565339174900332,0.10355194599305517"
128,"0.10565339,0.10355195",0,-0.39440718725336643,"0.10437567463710046,0.10355194599305517"
129,"0.104375675,0.10355195",6,-0.36784959103792436,"0.09113253804436044,0.10355194599305517"
130,"0.09113254,0.10355195",1,-0.33739663823898264,"0.08069632160415165,0.10033466501022645"
131,"0.08069632,0.10033467",2,-0.3166538822761895,"0.07957843714314596,0.09416566932996587"
132,"0.07957844,0.09416567",8,-0.2916474031973774,"0.07317686520269273,0.09009789093066398"
133,"0.07317687,0.09009789",2,-0.28297188187729,"0.07180359705725205,0.08812937127148818"
134,"0.0718036,0.08812937",5,-0.27519453724102916,"0.0720317184625479,0.08537703343864446"
135,"0.07203172,0.08537703",9,-0.2862346824055972,"0.07821261623009029,0.08493648331513887"
136,"0.07821262,0.084936485",8,-0.2640052548391108,"0.07197710675612702,0.08168368044228559"
137,"0.07197711,0.08168368",2,-0.2575976297225776,"0.0712791482812664,0.0800121867891168"
138,"0.071279146,0.08001219",4,-0.2464147432530256,"0.06729471343100825,0.0789205454383145"
139,"0.06729472,0.07892054",1,-0.2604963736472527,"0.07436736866615459,0.0789205454383145"
140,"0.07436737,0.07892054",7,-0.2974161945394083,"0.09282727911223242,0.0789205454383145"
141,"0.092827275,0.07892054",9,-0.34639301473948386,"0.11723018453360831,0.0789205454383145"
142,"0.117230184,0.07892054",9,-0.37430569918117124,"0.13127203143311386,0.0789205454383145"
143,"0.13127203,0.07892054",9,-0.3979156868972541,"0.1430770252911553,0.0789205454383145"
144,"0.14307703,0.07892054",6,-0.42039096402634096,"0.15410859600739307,0.0789205454383145"
145,"0.1541086,0.07892054",7,-0.4415494566307823,"0.1648939101579194,0.0789205454383145"
146,"0.16489391,0.07892054",5,-0.46231352929550473,"0.1752759464902806,0.0789205454383145"
147,"0.17527595,0.07892054",5,-0.4845458595038387,"0.1863921115944476,0.0789205454383145"
148,"0.18639211,0.07892054",7,-0.505127329358912,"0.19668284652198423,0.0789205454383145"
149,"0.19668284,0.07892054",9,-0.5260356175600045,"0.20712365652811726,0.0789205454383145"
150,"0.13297996,0.10344201",1,-0.4594637994229239,"0.1369110924524126,0.10354720483936625"
151,"0.1369111,0.10354721",7,-0.4780599604244854,"0.1462020612226599,0.10355194599305517"
152,"0.14620206,0.10355195",2,-0.5002242830313159,"0.15728422252607518,0.10355194599305517"
153,"0.15728422,0.10355195",0,-0.48207171689151984,"0.14820793945617716,0.10355194599305517"
154,"0.14820793,0.10355195",4,-0.4393211383756801,"0.12683265019825726,0.10355194599305517"
155,"0.12683265,0.10355195",1,-0.43388259614727254,"0.12411337908405351,0.10355194599305517"
156,"0.12411338,0.10355195",1,-0.45735012049233326,"0.13584714125658387,0.10355194599305517"
157,"0.13584714,0.10355195",2,-0.48132026788963556,"0.14783221495523502,0.10355194599305517"
158,"0.14783221,0.10355195",3,-0.5102293350184964,"0.16228674851966546,0.10355194599305517"
159,"0.16228674,0.10355195",3,-0.5665842577061677,"0.19046420986350107,0.10355194599305517"
160,"0.19046421,0.10355195",6,-0.6448437355952829,"0.22959394880805864,0.10355194599305517"
161,"0.22959395,0.10355195",2,-0.6524350785251835,"0.23338962027300897,0.10355194599305517"
162,"0.23338962,0.10355195",3,-0.7272497877299707,"0.2707969748754026,0.10355194599305517"
163,"0.27079698,0.10355195",6,-0.7981853585405722,"0.3062647602807033,0.10355194599305517"
