,cumulative_reward,succeed,actor_loss,critic_loss
0,-16.15996540584377,False,-16.894184112548828,73.35882568359375
1,-17.98594533462628,False,-22.18412208557129,110.46324157714844
2,-12.812291621646192,False,-13.783830642700195,46.50807571411133
3,-18.781887874269344,False,-22.055831909179688,115.0528335571289
4,-21.0780942690618,False,-24.41782760620117,140.54359436035156
5,-18.851066496127537,False,-23.681718826293945,122.69641876220705
6,-17.75730965966687,False,-22.478668212890625,110.6316146850586
7,-17.596196780153786,False,-22.00130081176757,110.25072479248048
8,-19.920090264825003,False,-24.913705825805664,139.83782958984375
9,-18.38751216757449,False,-22.36418533325196,113.95573425292967
10,-20.02870107441852,False,-25.060232162475582,143.3634490966797
11,-17.50053424190643,False,-20.506515502929688,98.5288314819336
12,-12.66690159962094,False,-13.230666160583496,44.09931182861328
13,-13.081079426153776,False,-14.39607048034668,49.7535400390625
14,-22.58174094052317,False,-28.09198760986328,177.63796997070312
15,-16.305595167395943,False,-20.69099235534668,92.03541564941406
16,-17.778743511822473,False,-19.17367935180664,92.21409606933594
17,-18.51464248533788,False,-23.34059333801269,120.87345886230467
18,-16.233049821114868,False,-17.497148513793945,75.3249282836914
19,-22.051144913112537,False,-27.056825637817383,170.44151306152344
20,-23.05507686598978,False,-26.44504165649414,167.54747009277344
21,-12.342545667533953,False,-13.63730239868164,44.29972457885742
22,-21.57163064704634,False,-27.8742733001709,175.96633911132812
23,-13.81703044049273,False,-13.820624351501465,49.464088439941406
24,-10.265427052067691,False,-10.600764274597168,27.33490943908692
25,-15.965234172223049,False,-20.9798641204834,93.33084106445312
26,-14.940186496721582,False,-17.51784324645996,69.58949279785156
27,-15.955278672851696,False,-18.013797760009766,79.29944610595703
28,-27.082787446592484,False,-32.817527770996094,248.39344787597656
29,-10.638220819226795,False,-10.56917953491211,31.5629825592041
30,-15.089308930074075,False,-17.344825744628906,68.77008819580078
31,-18.170634437240142,False,-22.615699768066406,116.74406433105467
32,-13.552509626229304,False,-12.628727912902832,43.55159759521485
33,-20.873617135259003,False,-24.030893325805664,134.5601806640625
34,-22.44773886077965,False,-24.359628677368164,150.57998657226562
