,state,action,reward,next_state
10,"[0.2247695028781891, 0.10355194658041, -0.008161122910678387, -0.39956969022750854, 0.017123151570558548, 0.008229648694396019, 3.198207195964642e-06]",8,-0.644213345584281,"[0.22922521544743807, 0.10355194599305517, -0.00817111899615064, -0.41000454178325274, 0.015246025597545732, 0.008351402344153769, 0.3910000857845546]"
11,"[0.22922521829605103, 0.10355194658041, -0.008171118795871735, -0.41000455617904663, 0.015246025286614895, 0.00835140235722065, 0.39100009202957153]",0,-0.6151708690028393,"[0.2147575155118369, 0.10355194599305517, -0.008608916167895941, -0.3535573671222707, 0.008711828873479988, 0.008331679524130386, 0.399819907400806]"
12,"[0.2147575169801712, 0.10355194658041, -0.008608915843069553, -0.35355737805366516, 0.008711828850209713, 0.008331679739058018, 0.39981991052627563]",6,-0.5583966384573165,"[0.18676130805835797, 0.10355194599305517, -0.008407390532739534, -0.4516544887873275, 0.38038836912399177, 0.006824894094980216, 0.40000009346427134]"
13,"[0.1867613047361374, 0.10355194658041, -0.008407390676438808, -0.45165449380874634, 0.38038837909698486, 0.00682489387691021, 0.40000009536743164]",1,-0.5315924840223001,"[0.17296832302156726, 0.10355194599305517, -0.008331496713470443, -0.41292502334128844, 0.3914609092422827, 0.007370520801520897, 0.4000001021598223]"
14,"[0.172968327999115, 0.10355194658041, -0.008331496268510818, -0.41292503476142883, 0.3914608955383301, 0.0073705208487808704, 0.40000009536743164]",9,-0.5293336307692503,"[0.1718388963950424, 0.10355194599305517, -0.00819890131942369, -0.41156905070189875, 0.4003727970151436, 0.00795405462852461, -1.6178588495563417e-06]"
15,"[0.1718388944864273, 0.10355194658041, -0.008198901079595089, -0.4115690588951111, 0.40037280321121216, 0.00795405451208353, -1.617858856661769e-06]",2,-0.5303228344410718,"[0.17232611528527111, 0.10355194599305517, -0.008136242105035052, -0.41120349833790826, 0.40238991670081514, 0.008144228297700451, -1.7243577588033077e-06]"
16,"[0.17232611775398254, 0.10355194658041, -0.00813624169677496, -0.4112035036087036, 0.40238991379737854, 0.008144228719174862, -1.7243577303815982e-06]",8,-0.5307277508906836,"[0.172535956455759, 0.10355194599305517, -0.008087174991745272, -0.4112795452220359, 0.4023296860643635, 0.008164339674375576, 0.4000001106406321]"
17,"[0.1725359559059143, 0.10355194658041, -0.008087174966931343, -0.411279559135437, 0.402329683303833, 0.008164339698851109, 0.40000012516975403]",3,-0.5406608797282402,"[0.1775025208745373, 0.10355194599305517, -0.17935973683734918, -0.4110291773480048, 0.4072436884947841, -0.007561084172237109, 0.4000002194544736]"
18,"[0.17750252783298492, 0.10355194658041, -0.17935973405838013, -0.411029189825058, 0.4072436988353729, -0.007561084348708391, 0.4000002145767212]",3,-0.5836528250230273,"[0.19899849352193086, 0.10355194599305517, -0.4125354871192677, -0.41132166026884587, 0.4078137618600657, -0.007445740160242131, 0.40000028240180807]"
19,"[0.19899849593639374, 0.10355194658041, -0.41253548860549927, -0.4113216698169708, 0.40781375765800476, -0.007445740047842264, 0.40000027418136597]",8,-0.6495247309275909,"[0.23193444647421269, 0.10355194599305517, -0.6402814653641142, -0.41146857987412844, 0.40863732448469303, -0.008058391365906914, 0.784000388919492]"
