Frame,Time,X1,Y1,Z1,X2,Y2,Z2,X3,Y3,Z3,X4,Y4,Z4,X5,Y5,Z5,X6,Y6,Z6,X7,Y7,Z7,X8,Y8,Z8,X9,Y9,Z9
0,0.09888930265848671,769.4844127893448,384.74059104919434,-0.38638901710510254,413.0817450284958,375.965389251709,-0.5142689943313599,810.7624619007111,621.8878135681152,-0.3639359474182129,358.6267372369766,635.630205154419,-0.5489022135734558,805.4422309398651,768.8665981292725,-0.7121723294258118,562.275984942913,674.962718963623,-0.841567873954773,718.5413296222687,836.0822525024414,-0.02959296479821205,479.60655176639557,843.9414825439453,0.03267815336585045,638.4370383024216,165.94455337524414,-1.0049288272857666
1,0.19777860531697342,770.2850521802902,385.2874917984009,-0.204539492726326,412.8034071922302,376.1991329193115,-0.36795249581336975,798.1342080831528,623.0533256530762,-0.1779663860797882,354.9804831147194,634.4921417236328,-0.4242424964904785,842.2626045942307,767.8289451599121,-0.5727593898773193,491.6278853416443,704.6305694580078,-0.8034225106239319,718.0575299263,851.400556564331,-0.019723309203982353,478.1389619708061,860.1996097564697,0.022916333749890327,638.9484511613846,166.86154174804688,-0.8028397560119629
2,0.2966679079754601,771.0548758506775,385.9095048904419,-0.16640792787075043,412.8022329211235,376.227089881897,-0.34141284227371216,794.2650915384293,623.036434173584,-0.15959109365940094,353.63103210926056,633.5240488052368,-0.3902120292186737,868.3931969404221,753.2164859771729,-0.577694833278656,475.3092176914215,740.6288146972656,-0.7601301670074463,718.1274168491364,858.6140003204346,-0.008900873363018036,477.88834404945374,868.4855060577393,0.012022959999740124,639.3290573358536,168.23178482055664,-0.7531906366348267
3,0.39555721063394683,772.6313170194626,387.0062780380249,-0.21242646872997284,412.83304864168167,376.2078914642334,-0.35083237290382385,794.8125865459442,623.0333061218262,-0.19246122241020203,352.2249314188957,632.2646560668945,-0.33964014053344727,860.8032066822052,758.2435779571533,-0.5829731225967407,452.8437033891678,756.3216247558594,-0.6584028005599976,717.9588199853897,861.1776733398438,-0.010714206844568253,477.06820464134216,870.0926990509033,0.013834189623594284,639.5698184967041,170.1099648475647,-0.7837483882904053
4,0.49444651329243355,773.3673359155655,387.23454761505127,-0.21564145386219025,412.8969930410385,375.79240798950195,-0.3318803012371063,795.1237328052521,622.5850954055786,-0.21379311382770538,349.7334483861923,629.4605531692505,-0.3318527936935425,860.1176458597183,751.3554515838623,-0.6075140833854675,440.66829121112823,756.0902271270752,-0.6769720911979675,717.1259415149689,860.9517498016357,-0.011068847961723804,476.0791836977005,869.3115463256836,0.014246342703700066,639.6875302791595,171.19852685928345,-0.7761437892913818
5,0.5933358159509202,773.8293582201004,387.2552709579468,-0.20702755451202393,412.9268124103546,375.5345001220703,-0.3299036920070648,794.6419258117676,621.7176475524902,-0.22296907007694244,348.36022728681564,628.8255195617676,-0.3537197709083557,860.7684767246246,739.3621883392334,-0.6566212773323059,448.5221722126007,754.3504829406738,-0.7135754227638245,717.2509835958481,860.7244186401367,-0.012312762439250946,476.0301133990288,869.5586624145508,0.015481334179639816,639.8993972539902,171.89524173736572,-0.781616747379303
6,0.6922251186094069,773.8694969415665,387.22058868408203,-0.1814497709274292,413.19646775722504,375.1414604187012,-0.3287968337535858,793.3876619338989,620.6882448196411,-0.22929547727108002,347.40803575515747,628.0383453369141,-0.37466204166412354,868.7616333961487,709.8137512207031,-0.7344623804092407,459.41883873939514,749.8956680297852,-0.8641645908355713,717.2430839538574,860.6609973907471,-0.010661867447197437,475.12450128793716,868.9228858947754,0.013812956400215626,640.1664193868637,172.28771448135376,-0.8009286522865295
7,0.7911144212678937,773.8665790557861,387.24115562438965,-0.18433643877506256,413.5222390294075,374.92445182800293,-0.34013140201568604,791.3167458772659,620.7032985687256,-0.23128022253513336,347.94866305589676,627.5443086624146,-0.3976312577724457,875.7130336761475,704.6816349029541,-0.746804416179657,459.7479193210602,745.0137958526611,-0.8805108666419983,717.156757235527,860.7260608673096,-0.008166376501321793,474.5222069621086,868.4749488830566,0.011311298236250877,640.2066292762756,172.32949352264404,-0.8149760961532593
8,0.8900037239263804,773.8111392259598,387.38160514831543,-0.18350161612033844,413.5855429172516,374.69461822509766,-0.34125471115112305,789.4952734708786,620.8249406814575,-0.23579572141170502,347.9958829879761,627.3518161773682,-0.4258016347885132,879.1312301158905,701.1892433166504,-0.769280731678009,458.85597145557404,742.4469165802002,-0.9055996537208557,716.8075361251831,860.8882503509521,-0.007109828758984804,473.17097675800323,868.0742454528809,0.010268963873386383,640.2092624902725,172.45543670654297,-0.8177316188812256
9,0.9888930265848671,773.6919329166412,387.4847135543823,-0.1923602968454361,413.59098726511,374.43608474731445,-0.35040178894996643,788.644745349884,621.0781173706055,-0.23816613852977753,348.09267139434814,627.2445240020752,-0.4643726348876953,877.3903198242188,701.19260597229,-0.7797631025314331,462.4690968990326,733.6975994110107,-0.9430477619171143,716.6449885368347,861.0497360229492,-0.007686496712267399,471.55286675691605,867.7703552246094,0.010847075842320919,640.4725838899612,172.70603275299072,-0.8194814920425415
