,cumulative_reward,succeed,actor_loss,critic_loss
0,-3.0,False,-11.750842094421388,40.671043395996094
1,-16.0,False,-14.751553535461426,60.62494659423828
2,-4.0,False,-5.409175395965576,9.588593482971191
3,-4.0,False,-8.448680877685547,23.166650772094727
4,-20.0,False,-26.397119522094727,143.3734130859375
5,-2.0,False,-1.1344923973083496,12.52488613128662
6,-4.0,False,-10.577312469482422,32.226051330566406
7,2.0,False,4.353495597839356,12.883949279785156
8,-10.0,False,-19.372106552124023,81.4071273803711
9,0.0,False,2.892397165298462,2.88494086265564
10,10.0,False,10.38662052154541,35.95515823364258
11,2.0,False,-1.8603953123092647,3.473703622817993
12,-4.0,False,-7.805655479431152,15.630255699157717
13,9.0,False,9.702507019042969,29.951156616210938
14,0.0,False,-0.2282244861125946,6.664186000823975
15,0.0,False,5.445742607116699,9.552858352661133
16,-12.0,False,-10.894285202026367,38.67606735229492
17,-4.0,False,-5.96915340423584,14.397154808044434
18,2.0,False,21.86734771728516,132.47402954101562
19,4.0,False,11.731822967529297,28.820858001708984
